id, sequence_id,probability_of_presequence, prediction,cleavage_site, net_charge, position_tom_20_motif, position_amphypathic_alpha_helix, BHHPPP, BPHBHH, HBHHBb, HBHHbB, HHBHHB, HHBPHB, HHBPHH, HHBPHP, HHHBBH, HHHBPH, HHHHBB, HHPBHH, HPBHHP, PHHBPH,unnamed
382, NP_079846 GeneID:66448 Mrpl20,0.58, Possessing mitochondrial presequence, 49(MPP),0.224," 38-42,42-46,46-50", 21-30-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
383, NP_849534 GeneID:108888 Atad3a,0, No mitochondrial presequence, 35(MPP),0," 54-58,57-61", 6-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
384, NP_079614 GeneID:66077 Aurkaip1,0.99, Possessing mitochondrial presequence, 37(MPP),0.135, , 2-14-high, -, -, -, -, -, -, 10-15, -, -, -, -, -, -, -, 
385, NP_001028662 GeneID:433813 Pusl1,0.078, No mitochondrial presequence, 51(MPP),0.059, 94-98, 17-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
386, NP_082254 GeneID:71883 Coq2,0.997, Possessing mitochondrial presequence, 34(MPP),0.206, 74-78, 9-20-high, -, -, -, -, -, -, 15-20, -, -, -, -, -, -, -, 
387, NP_001036135 GeneID:208595 Mterf1b,0.515, Possessing mitochondrial presequence, 39(MPP),0.103, 81-85, 6-16-low, -, -, -, -, -, -, -, -, -, -, 8-13, -, -, -, 
387, NP_001036135 GeneID:208595 Mterf1b,0.515, Possessing mitochondrial presequence, 40(Icp55*),0.103, 81-85, 6-16-low, -, -, -, -, -, -, -, -, -, -, 8-13, -, -, -, 
388, NP_081209 GeneID:69076 Triap1,0.033, No mitochondrial presequence, 22(MPP),-0.045," 19-23,24-28,48-52", 14-23-high, -, -, -, -, -, -, -, -, -, -, -, 18-23, -, -, 
388, NP_081209 GeneID:69076 Triap1,0.033, No mitochondrial presequence, 23(Icp55*),-0.045," 19-23,24-28,48-52", 14-23-high, -, -, -, -, -, -, -, -, -, -, -, 18-23, -, -, 
389, NP_082313 GeneID:71985 Acad10,0.919, Possessing mitochondrial presequence, 34(MPP),0.147," 3-7,75-79,88-92", 2-11-high, -, -, -, -, -, -, -, -, 1-6, -, -, -, -, -, 
390, NP_849209 GeneID:97212 Hadha,0.994, Possessing mitochondrial presequence, 28(MPP),0.214," 3-7,15-19", 2-12-high, -, -, -, -, 15-20, -, -, 25-30, -, 24-29, -, 2-7, -, -, 
390, NP_849209 GeneID:97212 Hadha,0.994, Possessing mitochondrial presequence, 36(Oct1),0.214," 3-7,15-19", 2-12-high, -, -, -, -, 15-20, -, -, 25-30, -, 24-29, -, 2-7, -, -, 
391, NP_796272 GeneID:320951 Pisd,0.88, Possessing mitochondrial presequence, 49(MPP),0.122, , 9-18-low, -, -, -, -, -, 9-14, -, -, -, 8-13, -, -, -, -, 
392, NP_077791 GeneID:79464 Lias,0.982, Possessing mitochondrial presequence, 26(MPP),0.154," 2-6,17-21", 11-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
392, NP_077791 GeneID:79464 Lias,0.982, Possessing mitochondrial presequence, 27(Icp55*),0.154," 2-6,17-21", 11-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
393, NP_700438 GeneID:231287 Atp10d,0, No mitochondrial presequence, 68(MPP),0, , 1-10-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
394, NP_081064 GeneID:665563 Mthfd2l,0.998, Possessing mitochondrial presequence, 32(MPP),0.219, 26-30, 8-17-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
394, NP_081064 GeneID:665563 Mthfd2l,0.998, Possessing mitochondrial presequence, 40(Oct1),0.219, 26-30, 8-17-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
395, NP_033151 GeneID:20239 Atxn2,0.018, No mitochondrial presequence, 87(MPP),0.149, , 18-27-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
396, NP_796216 GeneID:320717 Pptc7,0.592, Possessing mitochondrial presequence, 74(MPP),0.054," 7-11,11-15", 11-21-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
397, NP_742147 GeneID:545725 Mterf1a,0.232, No mitochondrial presequence, 37(MPP),0.081, 79-83, 12-21-low, -, -, -, -, -, -, -, -, -, -, 6-11, -, -, -, 
397, NP_742147 GeneID:545725 Mterf1a,0.232, No mitochondrial presequence, 38(Icp55*),0.081, 79-83, 12-21-low, -, -, -, -, -, -, -, -, -, -, 6-11, -, -, -, 
398, NP_001013041 GeneID:545725 Mterf1a,0.232, No mitochondrial presequence, 37(MPP),0.081, 79-83, 12-21-low, -, -, -, -, -, -, -, -, -, -, 6-11, -, -, -, 
398, NP_001013041 GeneID:545725 Mterf1a,0.232, No mitochondrial presequence, 38(Icp55*),0.081, 79-83, 12-21-low, -, -, -, -, -, -, -, -, -, -, 6-11, -, -, -, 
399, NP_694756 GeneID:207704 Gtpbp10,0.86, Possessing mitochondrial presequence, 67(MPP),0.149, , 8-19-high, -, -, -, -, -, -, -, -, 7-12, -, 6-11, -, -, -, 
400, NP_001276524 GeneID:319653 Slc25a40,0, No mitochondrial presequence, 44(MPP),-0.045," 64-68,92-96", 14-23-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
401, NP_001276525 GeneID:319653 Slc25a40,0.005, No mitochondrial presequence, 35(MPP),0.057," 1-5,29-33", 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
402, NP_848881 GeneID:319653 Slc25a40,0, No mitochondrial presequence, 44(MPP),-0.045," 64-68,92-96", 14-23-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
403, NP_076222 GeneID:74114 Crot,0, No mitochondrial presequence, 13(MPP),-0.077, 32-36, 1-10-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
404, NP_808537 GeneID:330050 Fam185a,0.754, Possessing mitochondrial presequence, 25(MPP),0.16, 94-98, 1-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
405, NP_080310 GeneID:67211 Armc10,0.024, No mitochondrial presequence, 38(MPP),0.158, 61-65, 5-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
406, NP_082707 GeneID:73078 Pmpcb,0.965, Possessing mitochondrial presequence, 30(MPP),0.233, 27-31, 10-19-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
407, NP_079670 GeneID:66169 Tomm7,0.033, No mitochondrial presequence, 25(MPP),0.2, , 8-17-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
408, NP_075718 GeneID:66587 Fastk,0, No mitochondrial presequence, 84(MPP),0.083," 35-39,81-85,94-98", 10-19-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
409, NP_083296 GeneID:74610 Abcb8,0.867, Possessing mitochondrial presequence, 25(MPP),0.12, 2-6, 2-11-high, -, -, -, -, 2-7, -, -, -, -, -, -, -, -, -, 
410, NP_038881 GeneID:27407 Abcf2,0, No mitochondrial presequence, 77(MPP),-0.013," 70-74,74-78", 1-10-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
411, NP_001177372 GeneID:27407 Abcf2,0, No mitochondrial presequence, 76(MPP),0," 69-73,73-77", 1-10-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
412, NP_001276727 GeneID:231086 Hadhb,0.99, Possessing mitochondrial presequence, 11(MPP),0.091, 80-84, 1-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
412, NP_001276727 GeneID:231086 Hadhb,0.99, Possessing mitochondrial presequence, 19(Oct1),0.091, 80-84, 1-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
413, NP_001276728 GeneID:231086 Hadhb,0.99, Possessing mitochondrial presequence, 11(MPP),0.091, 80-84, 1-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
413, NP_001276728 GeneID:231086 Hadhb,0.99, Possessing mitochondrial presequence, 19(Oct1),0.091, 80-84, 1-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
414, NP_663533 GeneID:231086 Hadhb,0.99, Possessing mitochondrial presequence, 11(MPP),0.091, 80-84, 1-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
414, NP_663533 GeneID:231086 Hadhb,0.99, Possessing mitochondrial presequence, 19(Oct1),0.091, 80-84, 1-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
415, NP_032648 GeneID:17527 Mpv17,0.759, Possessing mitochondrial presequence, 51(MPP),0.078," 3-7,7-11,69-73,73-77,86-90", 3-12-high, -, -, -, -, -, -, -, -, -, -, -, 6-11, -, -, 
415, NP_032648 GeneID:17527 Mpv17,0.759, Possessing mitochondrial presequence, 52(Icp55*),0.078," 3-7,7-11,69-73,73-77,86-90", 3-12-high, -, -, -, -, -, -, -, -, -, -, -, 6-11, -, -, 
416, NP_080072 GeneID:66845 Mrpl33,0.103, No mitochondrial presequence, 35(MPP),0.171, 17-21, 17-28-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
417, NP_062668 GeneID:56384 Letm1,0.996, Possessing mitochondrial presequence, 94(MPP),0.117, 50-54, 1-10-high, -, -, -, -, -, 5-10, -, -, -, 4-9, -, -, -, -, 
418, NP_109646 GeneID:80911 Acox3,0, No mitochondrial presequence, 26(MPP),-0.038, 82-86, 13-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
419, NP_077798 GeneID:17713 Grpel1,0.998, Possessing mitochondrial presequence, 26(MPP),0.231," 2-6,5-9,78-82", 7-16-high, -, -, -, -," 2-7,5-10", -, -, -, -, -, -, -, -, -, 
420, NP_077198 GeneID:110391 Qdpr,0.079, No mitochondrial presequence, 23(MPP),0.13," 7-11,68-72", 19-28-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
421, NP_077754 GeneID:66988 Lap3,0.886, Possessing mitochondrial presequence, 26(MPP),0.154," 9-13,59-63", 19-28-low, -, -, -, -, -, -, -, -, 12-17, -, -, -, -, -, 
421, NP_077754 GeneID:66988 Lap3,0.886, Possessing mitochondrial presequence, 27(Icp55*),0.154," 9-13,59-63", 19-28-low, -, -, -, -, -, -, -, -, 12-17, -, -, -, -, -, 
422, NP_001138905 GeneID:66278 Smim20,0.443, Possessing mitochondrial presequence, 31(MPP),0.097, , 12-21-low, -, -, -, -, -, 3-8, -, -, -, 2-7, -, -, -, -, 
423, NP_848766 GeneID:109108 Slc30a9,0.815, Possessing mitochondrial presequence, 31(MPP),0.129, , 1-10-low, -, -, -, -, -, -, -, -, 9-14, -, 8-13, -, -, -, 
424, NP_766299 GeneID:231279 Guf1,0.952, Possessing mitochondrial presequence, 30(MPP),0.1," 5-9,16-20,27-31,67-71", 4-13-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
424, NP_766299 GeneID:231279 Guf1,0.952, Possessing mitochondrial presequence, 31(Icp55*),0.1," 5-9,16-20,27-31,67-71", 4-13-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
425, NP_075918 GeneID:68095 Ociad1,0, No mitochondrial presequence, 34(MPP),-0.059, 76-80, 13-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
425, NP_075918 GeneID:68095 Ociad1,0, No mitochondrial presequence, 35(Icp55*),-0.059, 76-80, 13-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
426, NP_001153361 GeneID:68095 Ociad1,0, No mitochondrial presequence, 34(MPP),-0.059, 76-80, 13-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
426, NP_001153361 GeneID:68095 Ociad1,0, No mitochondrial presequence, 35(Icp55*),-0.059, 76-80, 13-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
427, NP_001153360 GeneID:68095 Ociad1,0, No mitochondrial presequence, 34(MPP),-0.059, 76-80, 13-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
427, NP_001153360 GeneID:68095 Ociad1,0, No mitochondrial presequence, 35(Icp55*),-0.059, 76-80, 13-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
428, NP_001153359 GeneID:68095 Ociad1,0, No mitochondrial presequence, 34(MPP),-0.059, 76-80, 13-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
428, NP_001153359 GeneID:68095 Ociad1,0, No mitochondrial presequence, 35(Icp55*),-0.059, 76-80, 13-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
429, NP_080215 GeneID:67054 Paics,0.022, No mitochondrial presequence, 31(MPP),0.032, , 6-15-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
430, NP_062810 GeneID:56412 Noa1,0.519, Possessing mitochondrial presequence, 44(MPP),0.114, , 5-14-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
431, NP_848815 GeneID:231413 Grsf1,0.012, No mitochondrial presequence, 65(MPP),0.123, 73-77, 7-16-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
432, NP_001091946 GeneID:231413 Grsf1,0, No mitochondrial presequence, 36(MPP),-0.167, 88-92, 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
433, NP_001156928 GeneID:231430 Cox18,0.949, Possessing mitochondrial presequence, 92(MPP),0.022, , 2-13-high, -, -, -, -, -, -, 2-7, -, -, 1-6, -, -, -, -, 
434, NP_001028482 GeneID:231430 Cox18,0.949, Possessing mitochondrial presequence, 92(MPP),0.022, , 2-13-high, -, -, -, -, -, -, 2-7, -, -, 1-6, -, -, -, -, 
435, NP_444388 GeneID:94061 Mrpl1,0.796, Possessing mitochondrial presequence, 42(MPP),0.143," 4-8,8-12,20-24,93-97", 5-14-high, -, -, -, -, 4-9, -, -, -, -, -, -, -, -, -, 
435, NP_444388 GeneID:94061 Mrpl1,0.796, Possessing mitochondrial presequence, 43(Icp55*),0.143," 4-8,8-12,20-24,93-97", 5-14-high, -, -, -, -, 4-9, -, -, -, -, -, -, -, -, -, 
436, NP_001034173 GeneID:94061 Mrpl1,0.809, Possessing mitochondrial presequence, 42(MPP),0.143," 4-8,8-12,20-24,93-97", 5-14-high, -, -, -, -, 4-9, -, -, -, -, -, -, -, -, -, 
436, NP_001034173 GeneID:94061 Mrpl1,0.809, Possessing mitochondrial presequence, 43(Icp55*),0.143," 4-8,8-12,20-24,93-97", 5-14-high, -, -, -, -, 4-9, -, -, -, -, -, -, -, -, -, 
437, NP_034424 GeneID:14626 Gk2,0.042, No mitochondrial presequence, 25(MPP),0.08," 68-72,72-76", 9-18-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
438, NP_081102 GeneID:68735 Mrps18c,0.04, No mitochondrial presequence, 38(MPP),0.105," 35-39,63-67", 16-25-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
438, NP_081102 GeneID:68735 Mrps18c,0.04, No mitochondrial presequence, 39(Icp55*),0.105," 35-39,63-67", 16-25-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
439, NP_083070 GeneID:74167 Nudt9,0.119, No mitochondrial presequence, 26(MPP),0.077, 28-32, 4-13-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
440, NP_031533 GeneID:11958 Atp5k,0.047, No mitochondrial presequence, 30(MPP),0.133, , 13-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
441, NP_660129 GeneID:107999 Gtpbp6,0.601, Possessing mitochondrial presequence, 36(MPP),0.167, 3-7, 9-20-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
442, NP_001157010 GeneID:72542 Pgam5,0.205, No mitochondrial presequence, 88(MPP),0.023, , 3-14-low, -, -, -, -, -, -, 2-7, -, -, 1-6, -, -, -, -, 
443, NP_033019 GeneID:19301 Pxmp2,0.54, Possessing mitochondrial presequence, 21(MPP),0.095," 28-32,35-39,70-74,84-88", 14-26-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
443, NP_033019 GeneID:19301 Pxmp2,0.54, Possessing mitochondrial presequence, 22(Icp55*),0.095," 28-32,35-39,70-74,84-88", 14-26-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
444, NP_082549 GeneID:72542 Pgam5,0.198, No mitochondrial presequence, 88(MPP),0.023, , 3-14-low, -, -, -, -, -, -, 2-7, -, -, 1-6, -, -, -, -, 
445, NP_705799 GeneID:100900 Hscb,0.931, Possessing mitochondrial presequence, 25(MPP),0.12, 96-100, 16-25-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
446, NP_062674 GeneID:56361 Pus1,0.853, Possessing mitochondrial presequence, 17(MPP),0.176, 3-7, 3-14-high, -, -, -, -, -, -, -, -, -, 9-14, -, -, -, -, 
447, NP_001020733 GeneID:56361 Pus1,0, No mitochondrial presequence, 35(MPP),0.057, , 3-12-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
448, NP_001020732 GeneID:56361 Pus1,0.853, Possessing mitochondrial presequence, 17(MPP),0.176, 3-7, 3-14-high, -, -, -, -, -, -, -, -, -, 9-14, -, -, -, -, 
449, NP_079802 GeneID:66383 Iscu,0.997, Possessing mitochondrial presequence, 35(MPP),0.171, 10-14, 9-18-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
450, NP_035807 GeneID:22256 Ung,0.703, Possessing mitochondrial presequence, 19(MPP),0.316," 64-68,93-97", 17-26-low, -, 7-12, -, -, -, -, -, -, -, -, -, -, -, -, 
450, NP_035807 GeneID:22256 Ung,0.703, Possessing mitochondrial presequence, 20(Icp55*),0.316," 64-68,93-97", 17-26-low, -, 7-12, -, -, -, -, -, -, -, -, -, -, -, -, 
451, NP_001035781 GeneID:22256 Ung,0.976, Possessing mitochondrial presequence, 78(MPP),0.064, 75-79, 3-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
452, NP_598665 GeneID:100705 Acacb,0.005, No mitochondrial presequence, 71(MPP),-0.042, 19-23, 19-28-high, -, -, -, 20-25, -, -, -, -, -, -, -, -, -, -, 
453, NP_084232 GeneID:77697 Mmab,0.955, Possessing mitochondrial presequence, 26(MPP),0.192," 18-22,49-53", 18-27-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
454, NP_084268 GeneID:77832 Tchp,0.017, No mitochondrial presequence, 62(MPP),0.065, , 3-12-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
455, NP_031409 GeneID:11409 Acads,0.99, Possessing mitochondrial presequence, 24(MPP),0.25, 13-17, 5-17-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
456, NP_080780 GeneID:52064 Coq5,0.878, Possessing mitochondrial presequence, 42(MPP),0.167," 3-7,9-13,90-94", 9-19-high, -, -, -, 10-15, -, -, -, -, -, -, -, -, -, -, 
456, NP_080780 GeneID:52064 Coq5,0.878, Possessing mitochondrial presequence, 43(Icp55*),0.167," 3-7,9-13,90-94", 9-19-high, -, -, -, 10-15, -, -, -, -, -, -, -, -, -, -, 
457, NP_083921 GeneID:384281 Gatc,0.942, Possessing mitochondrial presequence, 19(MPP),0.158," 2-6,39-43,58-62,75-79", 15-24-low, -, -, -, -, -, -, -, -, -, -, -, 1-6, 2-7, -, 
457, NP_083921 GeneID:384281 Gatc,0.942, Possessing mitochondrial presequence, 20(Icp55*),0.158," 2-6,39-43,58-62,75-79", 15-24-low, -, -, -, -, -, -, -, -, -, -, -, 1-6, 2-7, -, 
458, NP_031774 GeneID:12861 Cox6a1,0.995, Possessing mitochondrial presequence, 26(MPP),0.192," 16-20,40-44", 11-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
459, NP_598521 GeneID:75387 Sirt4,0.321, No mitochondrial presequence, 47(MPP),0.106, 44-48, 11-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
460, NP_001161163 GeneID:75387 Sirt4,0.321, No mitochondrial presequence, 47(MPP),0.106, 44-48, 11-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
461, NP_937806 GeneID:77407 Rab35,0.008, No mitochondrial presequence, 72(MPP),0.014," 5-9,8-12,25-29", 1-10-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
461, NP_937806 GeneID:77407 Rab35,0.008, No mitochondrial presequence, 80(Oct1),0.014," 5-9,8-12,25-29", 1-10-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
462, NP_598663 GeneID:257635 Sdsl,0.007, No mitochondrial presequence, 66(MPP),0.045," 52-56,64-68", 15-24-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
463, NP_848914 GeneID:338350 Acad12,0.732, Possessing mitochondrial presequence, 34(MPP),0.147, 3-7, 2-11-high, -, -, -, -, -, -, -, -, 1-6, -, -, -, -, -, 
464, NP_033786 GeneID:11669 Aldh2,0.999, Possessing mitochondrial presequence, 18(MPP),0.278," 1-5,15-19,78-82,81-85,84-88", 15-24-high, -, -, -, -, -, -, -, -, -, -, -, -, 15-20, -, 
464, NP_033786 GeneID:11669 Aldh2,0.999, Possessing mitochondrial presequence, 19(Icp55*),0.278," 1-5,15-19,78-82,81-85,84-88", 15-24-high, -, -, -, -, -, -, -, -, -, -, -, -, 15-20, -, 
465, NP_075721 GeneID:66593 Diablo,0.927, Possessing mitochondrial presequence, 75(MPP),0.133, 72-76, 8-17-high, -, -, -, -, -, -, 3-8, -, -, 2-7, -, -, -, -, 
466, NP_063928 GeneID:56325 Abcb9,0.004, No mitochondrial presequence, 79(MPP),0.025, 3-7, 2-11-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
467, NP_082586 GeneID:72650 2810006K23Rik,0.313, No mitochondrial presequence, 28(MPP),0.179, 16-20, 9-18-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
468, NP_001128189 GeneID:72650 2810006K23Rik,0.421, Possessing mitochondrial presequence, 28(MPP),0.179, 16-20, 9-18-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
469, NP_032121 GeneID:14467 Gbas,0.996, Possessing mitochondrial presequence, 27(MPP),0.148," 2-6,84-88", 19-28-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
470, NP_079726 GeneID:66258 Mrps17,0.45, Possessing mitochondrial presequence, 33(MPP),0.212," 14-18,30-34,39-43,65-69,88-92", 13-22-high, -, -, -, -, -, 22-27, -, -, -, 21-26, -, -, -, -, 
471, NP_077128 GeneID:14004 Chchd2,0.091, No mitochondrial presequence, 29(MPP),0.276, 76-80, 12-21-low, -, -, -, 22-27, -, -, -, -, -, -, -, -, -, -, 
472, NP_898911 GeneID:71970 2410018M08Rik,0.505, Possessing mitochondrial presequence, 29(MPP),0.276, 76-80, 13-22-low, -, -, -, 22-27, -, -, -, -, -, -, -, -, -, -, 
473, NP_291050 GeneID:94254 Wbscr16,0.689, Possessing mitochondrial presequence, 34(MPP),0.206," 4-8,55-59", 14-23-low, -, -, 5-10, -, 4-9, -, -, -, -, -, -, -, -, -, 
474, NP_660250 GeneID:68758 Abhd11,0.916, Possessing mitochondrial presequence, 34(MPP),0.206," 1-5,4-8,77-81", 6-15-high, -, -, -, -," 1-6,4-9", -, -, -, -, -, -, -, -, -, 
475, NP_079638 GeneID:66114 Dnajc30,0.789, Possessing mitochondrial presequence, 37(MPP),0.135," 3-7,14-18", 10-19-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
475, NP_079638 GeneID:66114 Dnajc30,0.789, Possessing mitochondrial presequence, 38(Icp55*),0.135," 3-7,14-18", 10-19-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
476, NP_001177366 GeneID:68758 Abhd11,0.015, No mitochondrial presequence, 9(MPP),0.333," 70-74,95-99", 2-11-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
476, NP_001177366 GeneID:68758 Abhd11,0.015, No mitochondrial presequence, 10(Icp55*),0.333," 70-74,95-99", 2-11-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
477, NP_032643 GeneID:17448 Mdh2,0.999, Possessing mitochondrial presequence, 16(MPP),0.188, , 13-23-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
477, NP_032643 GeneID:17448 Mdh2,0.999, Possessing mitochondrial presequence, 24(Oct1),0.188, , 13-23-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
478, NP_079838 GeneID:66437 Fis1,0, No mitochondrial presequence, 45(MPP),-0.044," 87-91,90-94", 1-10-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
479, NP_001156715 GeneID:66437 Fis1,0.005, No mitochondrial presequence, 38(MPP),0.026," 80-84,83-87", 5-14-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
480, NP_932097 GeneID:68033 Cox19,0.016, No mitochondrial presequence, 40(MPP),0.075, 37-41, 1-12-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
481, NP_080786 GeneID:68017 Ftsj2,0.789, Possessing mitochondrial presequence, 16(MPP),0.25," 30-34,43-47,57-61", 15-24-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
482, NP_065607 GeneID:57423 Atp5j2,0, No mitochondrial presequence, 41(MPP),0.073," 42-46,46-50", 11-24-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
483, NP_598496 GeneID:71799 Ptcd1,0.032, No mitochondrial presequence, 44(MPP),0.091, 6-10, 6-24-low, -, -, -, -, -, -, -, -, -, -, -, -, 6-11, -, 
484, NP_001243031 GeneID:76366 Mtif3,0.672, Possessing mitochondrial presequence, 27(MPP),0.111," 5-9,20-24,83-87", 17-26-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
485, NP_001243030 GeneID:76366 Mtif3,0.672, Possessing mitochondrial presequence, 27(MPP),0.111," 5-9,20-24,83-87", 17-26-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
486, NP_001243029 GeneID:76366 Mtif3,0.672, Possessing mitochondrial presequence, 27(MPP),0.111," 5-9,20-24,83-87", 17-26-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
487, NP_083857 GeneID:76366 Mtif3,0.672, Possessing mitochondrial presequence, 27(MPP),0.111," 5-9,20-24,83-87", 17-26-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
488, NP_056644 GeneID:50799 Slc25a13,0.032, No mitochondrial presequence, 44(MPP),0.045," 3-7,21-25,41-45", 17-26-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
489, NP_001171043 GeneID:50799 Slc25a13,0.033, No mitochondrial presequence, 44(MPP),0.045," 3-7,21-25,41-45", 17-26-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
490, NP_062750 GeneID:56463 Snd1,0.008, No mitochondrial presequence, 63(MPP),0.111," 23-27,60-64", 18-27-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
491, NP_079612 GeneID:66075 Chchd3,0, No mitochondrial presequence, 49(MPP),0.02, , 17-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
492, NP_079639 GeneID:66117 1110001J03Rik,0.835, Possessing mitochondrial presequence, 28(MPP),0.143," 34-38,38-42", 9-18-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
493, NP_849204 GeneID:57869 Adck2,0.051, No mitochondrial presequence, 30(MPP),0.133," 47-51,81-85,90-94", 20-29-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
494, NP_076027 GeneID:69923 Agk,0.391, Possessing mitochondrial presequence, 41(MPP),0.146, 38-42, 4-14-high, -, -, -, -, -, 4-9, -, -, -, 3-8, -, -, -, -, 
495, NP_663542 GeneID:58875 Hibadh,0.164, No mitochondrial presequence, 23(MPP),0.174, 95-99, 6-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
