id, sequence_id,probability_of_presequence, prediction,cleavage_site, net_charge, position_tom_20_motif, position_amphypathic_alpha_helix, BHHPPP, BPHBHH, HBHHBb, HBHHbB, HHBHHB, HHBPHB, HHBPHH, HHBPHP, HHHBBH, HHHBPH, HHHHBB, HHPBHH, HPBHHP, PHHBPH,unnamed
618, NP_116295 GeneID:100996939 PYURF,0.995, Possessing mitochondrial presequence, 27(MPP),0.222, 24-28, 1-13-low, -, -, -, -, -, -, -, -, 22-27, -, -, -, -, -, 
618, NP_116295 GeneID:100996939 PYURF,0.995, Possessing mitochondrial presequence, 35(Oct1),0.222, 24-28, 1-13-low, -, -, -, -, -, -, -, -, 22-27, -, -, -, -, -, 
619, NP_005381 GeneID:5161 PDHA2,1, Possessing mitochondrial presequence, 27(MPP),0.259," 6-10,10-14,18-22,62-66,88-92", 6-15-high, -, -, -, -, -, -, -, -, -, -, -, 5-10, -, -, 
620, NP_296374 GeneID:6164 RPL34,0.947, Possessing mitochondrial presequence, 67(MPP),0.269," 74-78,83-87,91-95", 21-30-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
621, NP_000986 GeneID:6164 RPL34,0.947, Possessing mitochondrial presequence, 67(MPP),0.269," 74-78,83-87,91-95", 21-30-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
622, NP_009014 GeneID:11162 NUDT6,0.939, Possessing mitochondrial presequence, 28(MPP),0.179, , 7-18-high, -, -, -, -, -, -, -, -, -, 13-18, -, -, -, -, 
623, NP_932158 GeneID:11162 NUDT6,0.009, No mitochondrial presequence, 41(MPP),-0.098, , 14-23-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
624, NP_112581 GeneID:83447 SLC25A31,0.006, No mitochondrial presequence, 14(MPP),0.286, 90-94, 8-17-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
625, NP_001171920 GeneID:4717 NDUFC1,0.984, Possessing mitochondrial presequence, 19(MPP),0.158, 10-14, 5-14-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
626, NP_001171918 GeneID:4717 NDUFC1,0.984, Possessing mitochondrial presequence, 19(MPP),0.158, 10-14, 5-14-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
627, NP_001171919 GeneID:4717 NDUFC1,0.984, Possessing mitochondrial presequence, 19(MPP),0.158, 10-14, 5-14-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
628, NP_001171915 GeneID:4717 NDUFC1,0.984, Possessing mitochondrial presequence, 19(MPP),0.158, 10-14, 5-14-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
629, NP_001171917 GeneID:4717 NDUFC1,0.984, Possessing mitochondrial presequence, 19(MPP),0.158, 10-14, 5-14-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
630, NP_116012 GeneID:84709 MGARP,0.72, Possessing mitochondrial presequence, 32(MPP),0.188, 3-7, 3-12-high, -, -, -, -, -, -, -, -, 1-6, -, -, -, -, -, 
631, NP_002485 GeneID:4717 NDUFC1,0.984, Possessing mitochondrial presequence, 19(MPP),0.158, 10-14, 5-14-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
632, NP_001171916 GeneID:4717 NDUFC1,0.984, Possessing mitochondrial presequence, 19(MPP),0.158, 10-14, 5-14-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
633, NP_068605 GeneID:7350 UCP1,0, No mitochondrial presequence, 85(MPP),0.035, , 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
634, NP_004555 GeneID:5188 PET112,0.873, Possessing mitochondrial presequence, 41(MPP),0.171, , 1-11-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
635, NP_001268666 GeneID:2110 ETFDH,0, No mitochondrial presequence, 40(MPP),-0.025," 15-19,56-60", 15-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
636, NP_004444 GeneID:2110 ETFDH,0.996, Possessing mitochondrial presequence, 33(MPP),0.152," 15-19,62-66", 8-19-low, -, -, -, -, 15-20, -, -, -, -, -, -, -, -, -, 
637, NP_001268667 GeneID:2110 ETFDH,0, No mitochondrial presequence, 26(MPP),-0.077," 1-5,42-46", 1-12-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
638, NP_116172 GeneID:84869 CBR4,0.075, No mitochondrial presequence, 29(MPP),0.172," 1-5,14-18", 13-22-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
639, NP_872603 GeneID:51166 AADAT,0.882, Possessing mitochondrial presequence, 21(MPP),0.143," 3-7,68-72", 19-28-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
640, NP_057312 GeneID:51166 AADAT,0.882, Possessing mitochondrial presequence, 21(MPP),0.143," 3-7,68-72", 19-28-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
641, NP_001273612 GeneID:51166 AADAT,0.882, Possessing mitochondrial presequence, 21(MPP),0.143," 3-7,68-72", 19-28-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
642, NP_001273611 GeneID:51166 AADAT,0.422, Possessing mitochondrial presequence, 21(MPP),0.143," 3-7,72-76", 19-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
643, NP_001273639 GeneID:2180 ACSL1,0.191, No mitochondrial presequence, 73(MPP),0.055, 6-10, 18-27-high, -, -, -, -, 6-11, -, -, -, -, -, -, -, -, 20-25, 
644, NP_001142 GeneID:291 SLC25A4,0.022, No mitochondrial presequence, 81(MPP),0.062, 78-82, 3-13-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
645, NP_076996 GeneID:79072 FASTKD3,0.261, No mitochondrial presequence, 21(MPP),0.143," 18-22,33-37", 6-15-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
645, NP_076996 GeneID:79072 FASTKD3,0.261, No mitochondrial presequence, 22(Icp55*),0.143," 18-22,33-37", 6-15-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
646, NP_000427 GeneID:5019 OXCT1,0.996, Possessing mitochondrial presequence, 39(MPP),0.128, 3-7, 3-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
647, NP_036475 GeneID:23530 NNT,0.975, Possessing mitochondrial presequence, 35(MPP),0.143, , 1-10-high, -, -, -, -, -, -, 4-9, -, -, -, -, -, -, 3-8, 
648, NP_892022 GeneID:23530 NNT,0.975, Possessing mitochondrial presequence, 35(MPP),0.143, , 1-10-high, -, -, -, -, -, -, 4-9, -, -, -, -, -, -, 3-8, 
649, NP_002486 GeneID:4724 NDUFS4,0.95, Possessing mitochondrial presequence, 34(MPP),0.176, , 5-14-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
649, NP_002486 GeneID:4724 NDUFS4,0.95, Possessing mitochondrial presequence, 42(Oct1),0.176, , 5-14-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
650, NP_777549 GeneID:91942 NDUFAF2,0.252, No mitochondrial presequence, 14(MPP),0.071, 7-11, 6-15-high, -, -, -, -, -, -, -, 11-16, -, 10-15, -, -, -, -, 
650, NP_777549 GeneID:91942 NDUFAF2,0.252, No mitochondrial presequence, 15(Icp55*),0.071, 7-11, 6-15-high, -, -, -, -, -, -, -, 11-16, -, 10-15, -, -, -, -, 
651, NP_001265855 GeneID:23398 PPWD1,0.014, No mitochondrial presequence, 42(MPP),0.095," 39-43,63-67", 14-24-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
652, NP_001265858 GeneID:23398 PPWD1,0.008, No mitochondrial presequence, 75(MPP),-0.013, 78-82, 2-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
653, NP_056157 GeneID:23398 PPWD1,0, No mitochondrial presequence, 31(MPP),-0.032," 69-73,93-97", 1-11-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
653, NP_056157 GeneID:23398 PPWD1,0, No mitochondrial presequence, 32(Icp55*),-0.032," 69-73,93-97", 1-11-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
654, NP_001265856 GeneID:23398 PPWD1,0.004, No mitochondrial presequence, 91(MPP),0, 94-98, 8-21-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
655, NP_071415 GeneID:64087 MCCC2,0.932, Possessing mitochondrial presequence, 22(MPP),0.182, 4-8, 1-10-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
656, NP_055899 GeneID:23107 MRPS27,0.978, Possessing mitochondrial presequence, 28(MPP),0.179, 72-76, 17-29-high, -, -, -, -, -, -, 12-17, -, -, 11-16, -, -, -, -, 
657, NP_001273677 GeneID:23107 MRPS27,0.977, Possessing mitochondrial presequence, 28(MPP),0.179, 72-76, 17-29-high, -, -, -, -, -, -, 12-17, -, -, 11-16, -, -, -, -, 
658, NP_001273680 GeneID:23107 MRPS27,0.014, No mitochondrial presequence, 19(MPP),0.105, 16-20, 16-25-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
659, NP_733781 GeneID:84340 GFM2,0.038, No mitochondrial presequence, 44(MPP),0.159, , 14-23-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
660, NP_733792 GeneID:84340 GFM2,0.038, No mitochondrial presequence, 44(MPP),0.159, , 14-23-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
661, NP_115756 GeneID:84340 GFM2,0.038, No mitochondrial presequence, 44(MPP),0.159, , 14-23-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
662, NP_001268231 GeneID:84340 GFM2,0.013, No mitochondrial presequence, 39(MPP),0.051, , 13-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
662, NP_001268231 GeneID:84340 GFM2,0.013, No mitochondrial presequence, 47(Oct1),0.051, , 13-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
663, NP_056071 GeneID:23305 ACSL6,0.004, No mitochondrial presequence, 49(MPP),-0.02, 31-35, 15-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
663, NP_056071 GeneID:23305 ACSL6,0.004, No mitochondrial presequence, 57(Oct1),-0.02, 31-35, 15-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
664, NP_001009185 GeneID:23305 ACSL6,0.005, No mitochondrial presequence, 49(MPP),-0.02, 31-35, 15-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
664, NP_001009185 GeneID:23305 ACSL6,0.005, No mitochondrial presequence, 57(Oct1),-0.02, 31-35, 15-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
665, NP_001192176 GeneID:23305 ACSL6,0.008, No mitochondrial presequence, 49(MPP),-0.02," 31-35,72-76", 15-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
665, NP_001192176 GeneID:23305 ACSL6,0.008, No mitochondrial presequence, 57(Oct1),-0.02," 31-35,72-76", 15-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
666, NP_001192177 GeneID:23305 ACSL6,0.425, Possessing mitochondrial presequence, 24(MPP),0," 6-10,82-86", 16-25-high, -, -, -, -, 6-11, -, -, 21-26, -, -, -, -, -, 20-25, 
666, NP_001192177 GeneID:23305 ACSL6,0.425, Possessing mitochondrial presequence, 32(Oct1),0," 6-10,82-86", 16-25-high, -, -, -, -, 6-11, -, -, 21-26, -, -, -, -, -, 20-25, 
667, NP_001192179 GeneID:23305 ACSL6,0.015, No mitochondrial presequence, 35(MPP),-0.029," 17-21,93-97", 1-12-low, -, -, -, -, 17-22, -, -, -, -, -, -, -, -, -, 
667, NP_001192179 GeneID:23305 ACSL6,0.015, No mitochondrial presequence, 43(Oct1),-0.029," 17-21,93-97", 1-12-low, -, -, -, -, 17-22, -, -, -, -, -, -, -, -, -, 
668, NP_001192180 GeneID:23305 ACSL6,0.519, Possessing mitochondrial presequence, 24(MPP),0," 6-10,47-51", 16-25-high, -, -, -, -, 6-11, -, -, 21-26, -, -, -, -, -, 20-25, 
668, NP_001192180 GeneID:23305 ACSL6,0.519, Possessing mitochondrial presequence, 32(Oct1),0," 6-10,47-51", 16-25-high, -, -, -, -, 6-11, -, -, 21-26, -, -, -, -, -, 20-25, 
669, NP_001274511 GeneID:995 CDC25C,0, No mitochondrial presequence, 23(MPP),-0.043, 50-54, 21-30-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
670, NP_001781 GeneID:995 CDC25C,0, No mitochondrial presequence, 23(MPP),-0.043, 50-54, 21-30-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
671, NP_073720 GeneID:995 CDC25C,0, No mitochondrial presequence, 23(MPP),-0.043, 50-54, 21-30-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
672, NP_001274512 GeneID:995 CDC25C,0.057, No mitochondrial presequence, 26(MPP),0.115, 20-24, 16-25-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
673, NP_660308 GeneID:133957 CCDC127,0.019, No mitochondrial presequence, 84(MPP),0.036, 39-43, 1-10-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
674, NP_004159 GeneID:6389 SDHA,0.995, Possessing mitochondrial presequence, 32(MPP),0.188," 7-11,13-17,18-22,90-94", 18-27-high, -, -, -, -, -, -, -, -, -, -, -, -, 7-12, -, 
674, NP_004159 GeneID:6389 SDHA,0.995, Possessing mitochondrial presequence, 40(Oct1),0.188," 7-11,13-17,18-22,90-94", 18-27-high, -, -, -, -, -, -, -, -, -, -, -, -, 7-12, -, 
675, NP_004544 GeneID:4726 NDUFS6,0.894, Possessing mitochondrial presequence, 27(MPP),0.111, 7-11, 7-16-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
676, NP_115868 GeneID:64979 MRPL36,0.807, Possessing mitochondrial presequence, 36(MPP),0.167," 6-10,57-61", 5-14-high, -, -, -, -, -, -, -, -, 4-9, -, -, -, -, -, 
677, NP_071413 GeneID:64083 GOLPH3,0.009, No mitochondrial presequence, 16(MPP),0.188, , 4-13-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
678, NP_001245367 GeneID:6897 TARS,0, No mitochondrial presequence, 58(MPP),0, , 2-13-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
679, NP_001245366 GeneID:6897 TARS,0, No mitochondrial presequence, 58(MPP),0, , 2-13-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
680, NP_689508 GeneID:6897 TARS,0, No mitochondrial presequence, 58(MPP),0, , 2-13-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
681, NP_001161067 GeneID:23600 AMACR,0, No mitochondrial presequence, 31(MPP),-0.032, 66-70, 11-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
682, NP_976316 GeneID:23600 AMACR,0, No mitochondrial presequence, 31(MPP),-0.032, 66-70, 11-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
683, NP_055139 GeneID:23600 AMACR,0, No mitochondrial presequence, 31(MPP),-0.032, 66-70, 11-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
684, NP_114106 GeneID:64902 AGXT2,0.658, Possessing mitochondrial presequence, 35(MPP),0.086," 5-9,18-22,63-67", 4-13-high, -, -, -, -, -, -, -, -, 3-8, -, -, -, -, -, 
685, NP_001078880 GeneID:133686 NADK2,0.604, Possessing mitochondrial presequence, 46(MPP),0.152, 12-16, 8-17-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
686, NP_694558 GeneID:133686 NADK2,0.094, No mitochondrial presequence, 35(MPP),0.029," 5-9,43-47", 7-16-low, -, -, -, -, -, -, -, -, -, -, -, 4-9, -, -, 
687, NP_001274269 GeneID:133686 NADK2,0.094, No mitochondrial presequence, 35(MPP),0.029," 5-9,43-47", 7-16-low, -, -, -, -, -, -, -, -, -, -, -, 4-9, -, -, 
688, NP_001274270 GeneID:133686 NADK2,0.1, No mitochondrial presequence, 35(MPP),0.029," 5-9,43-47", 7-16-low, -, -, -, -, -, -, -, -, -, -, -, 4-9, -, -, 
689, NP_057724 GeneID:10884 MRPS30,0.968, Possessing mitochondrial presequence, 16(MPP),0.25," 3-7,88-92", 3-12-high, -, -, 4-9, -, 3-8, -, -, -, -, -, -, -, -, -, 
690, NP_714917 GeneID:133383 SETD9,0.852, Possessing mitochondrial presequence, 34(MPP),0.235, 56-60, 4-13-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
691, NP_001165461 GeneID:133383 SETD9,0.849, Possessing mitochondrial presequence, 34(MPP),0.235, 56-60, 4-13-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
692, NP_065777 GeneID:57486 NLN,0.998, Possessing mitochondrial presequence, 29(MPP),0.207, 2-6, 8-17-high, -, -, -, -, -, 8-13, -, -, -, 7-12, -, -, -, -, 
693, NP_150597 GeneID:92259 MRPS36,0.037, No mitochondrial presequence, 42(MPP),0.119, 9-13, 9-18-low, -, -, -, -, -, -, -, -, -, -, -, -, 9-14, -, 
694, NP_079030 GeneID:79810 PTCD2,0.069, No mitochondrial presequence, 46(MPP),0.109, 43-47, 15-25-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
695, NP_001271333 GeneID:79810 PTCD2,0.01, No mitochondrial presequence, 67(MPP),0.045, 82-86, 9-18-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
696, NP_001271334 GeneID:79810 PTCD2,0, No mitochondrial presequence, 49(MPP),0.061, 64-68, 1-11-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
697, NP_001271332 GeneID:79810 PTCD2,0.04, No mitochondrial presequence, 46(MPP),0.109, 43-47, 15-25-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
698, NP_037523 GeneID:29958 DMGDH,0.995, Possessing mitochondrial presequence, 28(MPP),0.179, 65-69, 1-13-high, -, -, -, -, -, -, -, -, -, 12-17, -, -, -, -, 
699, NP_001093206 GeneID:1160 CKMT2,0.996, Possessing mitochondrial presequence, 47(MPP),0.085, 5-9, 1-10-high, -, -, -, -, -, -, -, -, -, -, -, 4-9, 5-10, -, 
700, NP_001093205 GeneID:1160 CKMT2,0.996, Possessing mitochondrial presequence, 47(MPP),0.085, 5-9, 1-10-high, -, -, -, -, -, -, -, -, -, -, -, 4-9, 5-10, -, 
701, NP_001816 GeneID:1160 CKMT2,0.996, Possessing mitochondrial presequence, 47(MPP),0.085, 5-9, 1-10-high, -, -, -, -, -, -, -, -, -, -, -, 4-9, 5-10, -, 
702, NP_001858 GeneID:1350 COX7C,0.813, Possessing mitochondrial presequence, 58(MPP),0.086, 38-42, 2-13-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
703, NP_620128 GeneID:91137 SLC25A46,0.008, No mitochondrial presequence, 32(MPP),0.031, 39-43, 1-12-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
703, NP_620128 GeneID:91137 SLC25A46,0.008, No mitochondrial presequence, 33(Icp55*),0.031, 39-43, 1-12-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
704, NP_000405 GeneID:3295 HSD17B4,0.048, No mitochondrial presequence, 24(MPP),0.083," 21-25,55-59", 13-25-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
704, NP_000405 GeneID:3295 HSD17B4,0.048, No mitochondrial presequence, 25(Icp55*),0.083," 21-25,55-59", 13-25-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
705, NP_001186220 GeneID:3295 HSD17B4,0.128, No mitochondrial presequence, 59(MPP),0.085," 6-10,50-54,80-84", 19-28-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
705, NP_001186220 GeneID:3295 HSD17B4,0.128, No mitochondrial presequence, 67(Oct1),0.085," 6-10,50-54,80-84", 19-28-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
706, NP_001186221 GeneID:3295 HSD17B4,0, No mitochondrial presequence, 48(MPP),0.042, 37-41, 18-27-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
707, NP_803431 GeneID:94033 FTMT,0.751, Possessing mitochondrial presequence, 48(MPP),0.167, 4-8, 8-19-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
707, NP_803431 GeneID:94033 FTMT,0.751, Possessing mitochondrial presequence, 49(Icp55*),0.167, 4-8, 8-19-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
708, NP_001173 GeneID:501 ALDH7A1,0.82, Possessing mitochondrial presequence, 25(MPP),0.2," 4-8,9-13", 16-25-high, -, -, -, -, 9-14, -, -, -, -, -, -, -, -, -, 
709, NP_001188306 GeneID:501 ALDH7A1,0, No mitochondrial presequence, 54(MPP),-0.019, 70-74, 6-17-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
710, NP_001189333 GeneID:501 ALDH7A1,0.031, No mitochondrial presequence, 34(MPP),0.088," 31-35,36-40", 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
711, NP_001157950 GeneID:401207 C5orf63,0.905, Possessing mitochondrial presequence, 22(MPP),0.091, , 10-19-high, -, -, -, -, -, -, -, 19-24, -, 18-23, -, -, -, -, 
712, NP_001157951 GeneID:401207 C5orf63,0.937, Possessing mitochondrial presequence, 22(MPP),0.091, , 10-19-high, -, -, -, -, -, -, -, 19-24, -, 18-23, -, -, -, -, 
713, NP_859056 GeneID:90624 LYRM7,0.5, Possessing mitochondrial presequence, 68(MPP),0.088," 1-5,4-8", 10-23-high, -, -, -, -, -, 10-15, -, -, -, -, -, -, -, 9-14, 
714, NP_005331 GeneID:3094 HINT1,0.004, No mitochondrial presequence, 38(MPP),0," 19-23,74-78", 16-25-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
714, NP_005331 GeneID:3094 HINT1,0.004, No mitochondrial presequence, 39(Icp55*),0," 19-23,74-78", 16-25-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
715, NP_003050 GeneID:6583 SLC22A4,0, No mitochondrial presequence, 64(MPP),-0.016, 17-21, 5-14-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
716, NP_055217 GeneID:27089 UQCRQ,0.249, No mitochondrial presequence, 13(MPP),0.154," 11-15,27-31,46-50", 1-10-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
717, NP_003365 GeneID:7416 VDAC1,0, No mitochondrial presequence, 94(MPP),-0.021, , 9-18-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
718, NP_115527 GeneID:84105 PCBD2,0.981, Possessing mitochondrial presequence, 14(MPP),0.143, 77-81, 10-19-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
718, NP_115527 GeneID:84105 PCBD2,0.981, Possessing mitochondrial presequence, 15(Icp55*),0.143, 77-81, 10-19-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
719, NP_660325 GeneID:153328 SLC25A48,0.003, No mitochondrial presequence, 86(MPP),0.035, 45-49, 6-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
719, NP_660325 GeneID:153328 SLC25A48,0.003, No mitochondrial presequence, 87(Icp55*),0.035, 45-49, 6-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
720, NP_004125 GeneID:3313 HSPA9,0.996, Possessing mitochondrial presequence, 45(MPP),0.089," 4-8,9-13,37-41", 1-13-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
720, NP_004125 GeneID:3313 HSPA9,0.996, Possessing mitochondrial presequence, 46(Icp55*),0.089," 4-8,9-13,37-41", 1-13-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
721, NP_001265661 GeneID:23438 HARS2,0, No mitochondrial presequence, 18(MPP),0.111, 48-52, 6-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
722, NP_002479 GeneID:4695 NDUFA2,0.074, No mitochondrial presequence, 27(MPP),0.148," 66-70,87-91", 16-25-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
723, NP_001265660 GeneID:23438 HARS2,0.938, Possessing mitochondrial presequence, 33(MPP),0.121, , 12-21-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
724, NP_036340 GeneID:23438 HARS2,0.965, Possessing mitochondrial presequence, 33(MPP),0.121, , 12-21-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
725, NP_001171941 GeneID:4695 NDUFA2,0.066, No mitochondrial presequence, 27(MPP),0.148, 66-70, 16-25-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
726, NP_001136075 GeneID:9812 KIAA0141,0.753, Possessing mitochondrial presequence, 23(MPP),0.174, 8-12, 8-17-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
727, NP_055588 GeneID:9812 KIAA0141,0.753, Possessing mitochondrial presequence, 23(MPP),0.174, 8-12, 8-17-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
728, NP_892005 GeneID:153768 PRELID2,0.005, No mitochondrial presequence, 25(MPP),0.04, , 15-26-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
729, NP_612501 GeneID:153768 PRELID2,0, No mitochondrial presequence, 40(MPP),0.075, , 9-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
730, NP_995318 GeneID:153768 PRELID2,0.005, No mitochondrial presequence, 69(MPP),0.058, , 15-26-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
731, NP_689620 GeneID:134266 GRPEL2,0.907, Possessing mitochondrial presequence, 39(MPP),0.128," 13-17,58-62,80-84", 3-12-low, -, -, -, -, -, -, 2-7, -, -, 1-6, -, -, -, -, 
732, NP_005608 GeneID:6208 RPS14,0, No mitochondrial presequence, 56(MPP),-0.018, 30-34, 14-23-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
733, NP_001020241 GeneID:6208 RPS14,0, No mitochondrial presequence, 56(MPP),-0.018, 30-34, 14-23-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
734, NP_001020242 GeneID:6208 RPS14,0, No mitochondrial presequence, 56(MPP),-0.018, 30-34, 14-23-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
735, NP_054899 GeneID:29093 MRPL22,0.752, Possessing mitochondrial presequence, 72(MPP),0.111, 84-88, 6-17-high, -, -, -, -, -, 13-18, -, -, -, 12-17, -, -, -, -, 
736, NP_001014990 GeneID:29093 MRPL22,0.2, No mitochondrial presequence, 10(MPP),0.2," 4-8,81-85,85-89,89-93", 3-12-high, -, -, 5-10, -, 4-9, -, -, -, -, -, -, -, -, -, 
737, NP_060342 GeneID:54974 THG1L,0.865, Possessing mitochondrial presequence, 23(MPP),0.13," 20-24,48-52,62-66,83-87", 16-25-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
738, NP_002878 GeneID:5917 RARS,0, No mitochondrial presequence, 55(MPP),-0.055," 84-88,87-91", 20-29-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
739, NP_073591 GeneID:94081 SFXN1,0.004, No mitochondrial presequence, 25(MPP),0," 25-29,47-51", 21-30-high, -, -, -, -, -, -, -, -, -, -, -, -, 25-30, -, 
740, NP_620175 GeneID:192286 HIGD2A,0, No mitochondrial presequence, 70(MPP),0.029, , 20-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
741, NP_037369 GeneID:27166 PRELID1,0.232, No mitochondrial presequence, 55(MPP),0.055," 1-5,62-66,66-70", 15-24-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
741, NP_037369 GeneID:27166 PRELID1,0.232, No mitochondrial presequence, 56(Icp55*),0.055," 1-5,62-66,66-70", 15-24-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
