Sequence ID,name,length,exp number of AAs in TMHs,exp number of AAs in TMHs in the first 60 AAs,predicted number of TMH,topology,Probability of presequence,Prediction,Cleavage site (processing enzyme),Net charge,Positions for TOM20 recognition motif (deliminated by comma),Position of amphypathic alpha-helix,BHHPPP,BPHBHH,HBHHBb,HBHHbB,HHBHHB,HHBPHB,HHBPHH,HHBPHP,HHHBBH,HHHBPH,HHHHBB,HHPBHH,HPBHHP,PHHBPH
YP_240546.1,ORF001 [Staphylococcus virus 29],1047,210.95,0.00,9,i231-253o263-285i520-539o559-581i588-610o630-652i665-687o702-724i744-766o,0.213,No mitochondrial presequence,26(MPP),0.154,23-27,12-21-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_240620.1,ORF001 [Staphylococcus virus 52a],1047,205.51,0.00,7,i231-253o263-285i566-588o630-652i665-687o702-724i731-753o,0.219,No mitochondrial presequence,26(MPP),0.154,23-27,12-21-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_240686.1,ORF001 [Staphylococcus virus 88],989,203.29,0.00,7,i173-195o205-227i511-533o572-594i607-629o644-666i673-695o,0.204,No mitochondrial presequence,26(MPP),0.154,23-27,12-21-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_240759.1,ORF001 [Staphylococcus virus 92],989,203.29,0.00,7,i173-195o205-227i511-533o572-594i607-629o644-666i673-695o,0.204,No mitochondrial presequence,26(MPP),0.154,23-27,12-21-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009115507.1,putative capsid protein [Sewage-associated circular DNA molecule-3],235,18.12,0.00,1,i205-227o,0.810,Possessing mitochondrial presequence,38(MPP),0.237,,17-26-high,6-11,-,-,-,-,-,24-29,-,-,-,-,-,-,23-28
YP_009116899.1,capsid protein [Sewage-associated circular DNA virus-18],248,23.11,0.00,1,i207-229o,0.871,Possessing mitochondrial presequence,34(MPP),0.265,18-22,7-16-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009121799.1,pif-5/odv-e56 [Spodoptera frugiperda granulovirus],353,30.97,0.00,1,o323-345i,0.131,No mitochondrial presequence,36(MPP),0.111,70-74,1-10-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_008003608.1,unknown similar to AMEV070 [Mythimna separata entomopoxvirus 'L'],272,16.43,16.21,1,i7-26o,0.106,No mitochondrial presequence,52(MPP),0.096,"3-7,91-95,94-98",18-27-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_008003701.1,unknown similar to AMEV143 [Mythimna separata entomopoxvirus 'L'],140,45.74,14.84,2,i44-66o81-103i,0.267,No mitochondrial presequence,21(MPP),0.143,"11-15,36-40,53-57,94-98",8-17-high,-,-,-,12-17,-,-,-,-,-,-,-,-,-,-
YP_008003785.1,S-S bond formation pathway protein substrate (Cop-F9L) [Mythimna separata entomopoxvirus 'L'],230,22.73,0.01,1,o178-200i,0.202,No mitochondrial presequence,15(MPP),0.067,12-16,8-19-low,-,-,-,-,-,-,-,-,-,-,-,11-16,-,-
YP_008003791.1,IMV heparin binding surface protein [Mythimna separata entomopoxvirus 'L'],288,28.35,0.02,1,o247-278i,0.324,No mitochondrial presequence,14(MPP),0.143,"21-25,77-81,84-88",18-27-high,23-28,-,-,-,-,-,-,-,-,-,-,-,21-26,-
YP_008003842.1,unknown similar to AMEV013 [Adoxophyes honmai entomopoxvirus 'L'],349,20.22,19.19,1,i20-39o,0.130,No mitochondrial presequence,"32(MPP), 33(Icp55*)",0.125,"9-13,13-17,65-69",9-20-high,-,-,-,-,9-14,-,-,16-21,-,-,-,-,-,-
YP_008004231.1,sulfhydryl oxidase FAD-linked (Cop-E10R) [Choristoneura biennis entomopoxvirus],105,17.55,17.46,1,o5-24i,0.217,No mitochondrial presequence,18(MPP),0.111,"15-19,72-76,75-79",14-23-high,-,-,-,-,-,-,-,-,-,-,-,14-19,-,-
YP_008004259.1,P4a precursor [Choristoneura biennis entomopoxvirus],1154,20.22,0.00,1,i328-347o,0.126,No mitochondrial presequence,24(MPP),0.125,45-49,7-16-high,-,-,-,-,-,-,-,-,-,15-20,-,-,-,-
YP_008004349.1,S-S bond formation pathway protein substrate (Cop-F9L) [Choristoneura biennis entomopoxvirus],242,23.07,0.09,1,o184-206i,0.292,No mitochondrial presequence,12(MPP),0.167,18-22,14-25-low,-,-,-,-,-,-,-,-,-,-,-,17-22,-,-
YP_008004561.1,P4a precursor [Choristoneura rosaceana entomopoxvirus 'L'],1151,19.87,0.00,1,i325-344o,0.114,No mitochondrial presequence,24(MPP),0.125,45-49,7-16-high,-,-,-,-,-,-,-,-,-,15-20,-,-,-,-
YP_008004650.1,S-S bond formation pathway protein substrate (Cop-F9L) [Choristoneura rosaceana entomopoxvirus 'L'],243,23.00,0.06,1,o185-207i,0.360,No mitochondrial presequence,12(MPP),0.167,"18-22,40-44",14-25-low,-,-,-,-,-,-,-,-,-,-,-,17-22,-,-
YP_008004665.1,unknown similar to AMEV003 [Choristoneura rosaceana entomopoxvirus 'L'],819,22.72,0.01,1,o793-815i,0.112,No mitochondrial presequence,6(MPP),0.167,48-52,21-30-low,-,2-7,-,-,-,15-20,-,-,-,14-19,-,-,-,-
YP_008004675.1,unknown similar to AMEVITR04 [Choristoneura rosaceana entomopoxvirus 'L'],173,21.09,21.04,1,i20-39o,0.125,No mitochondrial presequence,"48(MPP), 49(Icp55*)",0.104,22-26,11-20-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009123862.1,protein C [uncultured phage WW-nAnB],392,41.67,19.69,2,i12-31o364-386i,0.245,No mitochondrial presequence,12(MPP),0.417,"9-13,55-59",7-16-high,-,-,-,-,-,-,-,-,7-12,-,6-11,-,-,-
YP_009124048.1,hypothetical protein PBI_MINERVA_95 [Mycobacterium phage Minerva],235,133.01,31.63,6,i28-50o54-73i86-108o123-145i158-180o195-217i,0.108,No mitochondrial presequence,21(MPP),0.095,55-59,9-18-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009124264.1,hypothetical protein PBI_ESTAVE1_73 [Mycobacterium phage Estave1],68,19.71,15.70,1,o45-67i,0.199,No mitochondrial presequence,9(MPP),0.444,,3-15-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009124604.1,hypothetical protein PBI_SQUIRTY_52 [Mycobacterium phage Squirty],119,24.19,21.76,1,i13-35o,0.520,Possessing mitochondrial presequence,35(MPP),0.171,"11-15,79-83",5-14-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009124704.1,hypothetical protein PBI_SBASH_50 [Mycobacterium phage Sbash],162,22.90,17.23,1,i44-63o,0.287,No mitochondrial presequence,"44(MPP), 45(Icp55*)",0.205,41-45,8-17-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009124942.1,tapemeasure protein [Mycobacterium phage Trike],851,105.22,24.98,2,o40-62i69-91o,0.213,No mitochondrial presequence,30(MPP),0.100,"23-27,27-31",21-30-high,-,-,-,-,-,-,-,-,-,-,1-6,-,-,-
YP_009125023.1,hypothetical protein PBI_BUZZLYSEYEAR_30 [Mycobacterium phage BuzzLyseyear],55,22.53,22.53,1,i13-35o,0.101,No mitochondrial presequence,14(MPP),0.286,11-15,11-22-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009125504.1,holin [Mycobacterium phage Milly],128,70.69,36.37,4,i16-34o38-60i67-84o89-106i,0.305,No mitochondrial presequence,16(MPP),0.062,"13-17,63-67",15-24-high,-,-,-,-,-,-,16-21,-,-,-,-,-,-,-
YP_009125505.1,hypothetical protein MILLY_31 [Mycobacterium phage Milly],139,82.06,30.24,4,i13-32o52-74i81-100o115-132i,0.157,No mitochondrial presequence,26(MPP),0.077,"10-14,86-90",6-15-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009125511.1,hypothetical protein MILLY_37 [Mycobacterium phage Milly],124,21.65,21.59,1,i13-35o,0.266,No mitochondrial presequence,77(MPP),0.013,"1-5,74-78",1-10-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009125513.1,hypothetical protein MILLY_39 [Mycobacterium phage Milly],127,19.30,18.76,1,i7-29o,0.101,No mitochondrial presequence,53(MPP),0.019,,11-20-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009126875.1,polyprotein [Sokoluk virus],3413,401.86,20.58,13,i37-59o726-748i755-777o1326-1348i1360-1382o1387-1404i1461-1483o2159-2181i2186-2205o2209-2228i2241-2258o2294-2311i2348-2370o,0.146,No mitochondrial presequence,23(MPP),0.348,,17-26-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009126893.1,putative capsid protein [Avon-Heathcote Estuary associated circular virus 7],183,19.83,0.69,1,o94-116i,0.110,No mitochondrial presequence,22(MPP),0.091,"65-69,80-84,92-96",9-18-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009126914.1,putative capsid protein [Avon-Heathcote Estuary associated circular virus 14],356,18.00,17.99,1,i21-43o,0.728,Possessing mitochondrial presequence,26(MPP),0.308,"20-24,23-27,78-82",7-17-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_184801.1,hypothetical protein CcBV_9.2 [Cotesia congregata bracovirus],154,20.87,20.75,1,i7-29o,0.121,No mitochondrial presequence,"27(MPP), 28(Icp55*)",0.074,"3-7,49-53",11-20-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_184899.1,hypothetical protein CcBV_33.1 [Cotesia congregata bracovirus],154,20.87,20.75,1,i7-29o,0.121,No mitochondrial presequence,"27(MPP), 28(Icp55*)",0.074,"3-7,49-53",11-20-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_184903.1,hypothetical protein CcBV_33.5 [Cotesia congregata bracovirus],139,14.97,0.13,1,o96-113i,0.461,Possessing mitochondrial presequence,24(MPP),0.167,"13-17,17-21",12-21-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_003240117.1,NS3 protein [Epizootic hemorrhagic disease virus (serotype 1 / strain New Jersey)],228,43.76,0.01,2,i114-136o151-173i,0.141,No mitochondrial presequence,32(MPP),-0.031,"2-6,45-49,53-57,69-73",1-10-high,-,-,-,-,-,-,-,-,-,-,-,1-6,-,-
YP_009058941.1,Cap [Ancient caribou feces associated virus],248,19.00,0.11,1,i217-239o,0.147,No mitochondrial presequence,42(MPP),0.310,"25-29,28-32",20-29-high,-,-,-,-,25-30,-,-,-,-,-,-,-,-,-
YP_004063967.1,Ndd.4 conserved hypothetical protein [Escherichia phage vB_EcoM_VR7],38,21.59,21.59,1,i7-29o,0.108,No mitochondrial presequence,32(MPP),0.094,"1-5,4-8",1-10-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_003212834.1,hypothetical protein OTV1_010 [Ostreococcus tauri virus 1],671,22.56,22.53,1,i13-35o,0.407,Possessing mitochondrial presequence,43(MPP),0.116,"7-11,50-54",5-14-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_003212835.1,hypothetical protein OTV1_011 [Ostreococcus tauri virus 1],249,34.69,1.69,1,i162-184o,0.264,No mitochondrial presequence,87(MPP),0.138,"53-57,72-76",13-22-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_003212870.1,hypothetical protein OTV1_046 [Ostreococcus tauri virus 1],125,54.34,17.40,3,i34-56o66-85i105-122o,0.300,No mitochondrial presequence,19(MPP),0.316,,1-10-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_003212892.1,hypothetical protein OTV1_068 [Ostreococcus tauri virus 1],102,19.49,19.49,1,o10-28i,0.187,No mitochondrial presequence,38(MPP),0.132,,10-19-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009049832.1,pif5 [Peridroma alphabaculovirus],369,34.55,0.54,1,o317-339i,0.293,No mitochondrial presequence,38(MPP),0.079,70-74,1-10-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009049848.1,gp37 [Peridroma alphabaculovirus],276,17.60,17.59,1,i5-22o,0.305,No mitochondrial presequence,53(MPP),0.000,"1-5,51-55",1-10-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009049852.1,peptidase MA superfamily [Peridroma alphabaculovirus],941,38.48,15.69,2,i7-29o882-904i,0.178,No mitochondrial presequence,70(MPP),-0.014,"3-7,80-84,83-87",2-11-high,-,-,-,-,-,-,-,-,-,-,-,2-7,3-8,-
YP_009049954.1,p26 [Peridroma alphabaculovirus],310,25.36,17.38,1,i44-61o,0.156,No mitochondrial presequence,40(MPP),0.150,"1-5,41-45",2-11-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009116669.1,TK1 [Tipula oleracea nudivirus],740,25.77,0.00,1,i317-339o,0.271,No mitochondrial presequence,11(MPP),0.273,41-45,9-18-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009116721.1,PIF-5a [Tipula oleracea nudivirus],430,21.00,0.00,1,o387-405i,0.294,No mitochondrial presequence,10(MPP),0.400,"1-5,77-81",3-12-high,-,-,-,-,-,4-9,-,-,-,-,-,-,-,-
YP_009116723.1,hypothetical protein TONV_076 [Tipula oleracea nudivirus],62,22.41,22.41,1,i29-51o,0.160,No mitochondrial presequence,16(MPP),0.250,"6-10,51-55",6-17-high,-,-,-,-,-,10-15,-,-,-,9-14,-,-,-,-
YP_009116743.1,PIF-5b [Tipula oleracea nudivirus],398,73.60,0.00,1,o370-392i,0.374,No mitochondrial presequence,13(MPP),0.231,77-81,6-17-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009130633.1,ORF2 [Wobbly possum disease virus],207,32.15,10.71,2,i7-24o176-198i,0.624,Possessing mitochondrial presequence,22(MPP),0.136,"4-8,41-45,77-81",4-15-high,-,-,-,-,-,-,19-24,-,-,18-23,-,-,-,-
YP_009130641.1,replicase polyprotein 1ab [Chinook salmon bafinivirus],7011,368.17,0.00,16,o2445-2467i2474-2496o2568-2590i2755-2777o2787-2809i3102-3124o3268-3290i3311-3333o3343-3365i3759-3778o3783-3800i3809-3831o3846-3866i3873-3895o3942-3964i3971-3993o,0.173,No mitochondrial presequence,24(MPP),0.250,"6-10,10-14",5-14-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009130646.1,polyprotein [Fusarium graminearum hypovirus 2],3944,250.03,0.00,10,o1227-1244i1249-1271o1567-1589i1596-1618o1633-1655i1739-1761o1766-1788i1850-1872o3092-3114i3135-3157o,0.147,No mitochondrial presequence,"19(MPP), 20(Icp55*)",0.000,,1-10-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009005967.1,hypothetical protein P106B_41 [Rhizobium phage vB_RglS_P106B],88,20.64,20.64,1,o15-34i,0.179,No mitochondrial presequence,60(MPP),0.050,"2-6,12-16,46-50",1-13-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009005992.1,hypothetical protein P106B_66 [Rhizobium phage vB_RglS_P106B],90,17.63,17.63,1,i21-40o,0.418,Possessing mitochondrial presequence,16(MPP),0.250,,4-14-high,-,-,-,-,-,4-9,-,-,-,3-8,-,-,-,-
YP_009134452.1,photosystem II D1 protein [Synechococcus phage ACG-2014f],359,118.71,23.23,5,i30-52o109-128i141-163o197-219i271-293o,0.116,No mitochondrial presequence,28(MPP),0.071,,12-21-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009134460.1,pilin [Synechococcus phage ACG-2014f],127,22.56,22.55,1,i21-43o,0.201,No mitochondrial presequence,11(MPP),0.273,8-12,2-11-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009134670.1,hypothetical protein Syn7803C2_168 [Synechococcus phage ACG-2014e],135,46.36,23.21,2,i25-47o77-99i,0.267,No mitochondrial presequence,21(MPP),0.190,"3-7,7-11",2-11-high,-,-,-,-,-,-,-,-,1-6,-,-,-,-,-
YP_009118468.1,membrane protein E11 [Equid gammaherpesvirus 5],274,27.27,2.21,1,o239-261i,0.137,No mitochondrial presequence,19(MPP),0.105,,7-16-low,-,-,-,-,-,-,6-11,-,-,5-10,-,-,-,-
NP_042926.1,protein UL49 [Human betaherpesvirus 6A],470,19.62,1.53,1,i80-102o,0.821,Possessing mitochondrial presequence,80(MPP),0.113,"4-8,81-85",3-12-high,-,-,-,-,-,-,7-12,-,2-7,-,1-6,-,-,-
YP_002213777.1,core protein precursor pX [Human mastadenovirus B],75,23.12,18.81,1,i42-64o,0.964,Possessing mitochondrial presequence,36(MPP),0.417,,3-14-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_002213810.1,core protein precursor pX [Human mastadenovirus B],76,22.90,16.45,1,i43-65o,0.951,Possessing mitochondrial presequence,24(MPP),0.333,,3-14-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_007947944.1,tail assembly protein [Enterobacteria phage phi80],205,60.27,0.09,2,i94-116o121-143i,0.299,No mitochondrial presequence,19(MPP),0.263,"29-33,40-44,76-80",10-19-high,-,-,-,-,-,-,1-6,-,-,-,-,-,-,-
YP_007947981.1,lysozyme [Enterobacteria phage phi80],164,20.54,19.84,1,i9-28o,0.169,No mitochondrial presequence,"38(MPP), 39(Icp55*)",0.053,78-82,4-13-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009140945.1,hypothetical protein Syn7803US120_156 [Synechococcus phage ACG-2014i],124,22.13,22.12,1,i12-34o,0.126,No mitochondrial presequence,36(MPP),0.111,,16-25-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009140951.1,hypothetical protein Syn7803US120_162 [Synechococcus phage ACG-2014i],135,46.45,23.33,2,i25-47o77-99i,0.256,No mitochondrial presequence,73(MPP),0.123,"3-7,7-11",2-11-high,-,-,-,-,-,-,-,-,1-6,-,-,-,-,-
YP_803538.1,occlusion-derived virus envelope/capsid protein [Anticarsia gemmatalis nucleopolyhedrovirus],370,39.08,0.01,1,o320-342i,0.312,No mitochondrial presequence,"27(MPP), 35(Oct1)",0.111,10-14,7-16-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_803528.1,p74 [Anticarsia gemmatalis nucleopolyhedrovirus],644,62.07,0.00,3,o435-457i590-609o613-630i,0.132,No mitochondrial presequence,43(MPP),0.047,"12-16,32-36,62-66",13-22-high,-,-,-,-,-,-,-,-,-,-,-,-,12-17,-
YP_803500.2,hypothetical protein AGNV_054 [Anticarsia gemmatalis nucleopolyhedrovirus],103,23.15,10.67,1,o50-72i,0.184,No mitochondrial presequence,26(MPP),0.077,,17-26-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009142792.1,glycoprotein G2 [Bovine nidovirus TCH5],455,19.93,0.25,1,o429-448i,0.500,Possessing mitochondrial presequence,"20(MPP), 21(Icp55*)",0.200,31-35,13-22-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009142917.1,M protein [Punta Toro virus],1313,69.20,1.48,3,o710-732i797-816o1282-1304i,0.602,Possessing mitochondrial presequence,12(MPP),0.083,9-13,4-13-high,-,-,-,-,-,-,-,-,-,-,-,8-13,-,-
YP_009143005.1,hypothetical protein SmphiM12_104 [Sinorhizobium phage phiM12],162,20.20,19.66,1,o15-37i,0.459,Possessing mitochondrial presequence,41(MPP),0.049,,3-15-high,-,-,-,-,-,-,-,3-8,-,2-7,-,-,-,-
YP_009143016.1,hypothetical protein SmphiM12_123 [Sinorhizobium phage phiM12],199,37.67,22.87,2,i21-43o119-141i,0.780,Possessing mitochondrial presequence,64(MPP),0.188,"1-5,9-13",4-13-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009143142.1,hypothetical protein SmphiM12_292 [Sinorhizobium phage phiM12],137,22.59,22.59,1,o5-27i,0.196,No mitochondrial presequence,29(MPP),0.069,69-73,10-19-low,-,-,-,-,-,-,-,-,25-30,-,24-29,-,-,-
YP_009143166.1,hypothetical protein SmphiM12_328 [Sinorhizobium phage phiM12],94,21.96,21.96,1,o30-52i,0.330,No mitochondrial presequence,19(MPP),0.158,,1-10-high,-,9-14,-,-,-,7-12,-,-,-,-,-,-,-,"6-11,15-20"
YP_009143292.1,hypothetical protein SmphiM12_492 [Sinorhizobium phage phiM12],66,43.28,42.59,2,i7-29o39-61i,0.108,No mitochondrial presequence,11(MPP),0.273,"4-8,60-64",1-10-high,-,-,-,-,-,-,8-13,-,-,7-12,-,-,-,-
YP_009143301.1,polyprotein [Sclerotinia sclerotiorum fusarivirus 1],1665,120.31,6.06,5,i72-94o104-126i147-169o228-250i263-285o,0.339,No mitochondrial presequence,67(MPP),0.045,"8-12,21-25,64-68",1-12-high,-,-,-,-,8-13,-,-,-,-,-,-,-,-,-
YP_009143355.1,S-S bond formation pathway protein [Raccoonpox virus],212,21.78,0.05,1,o174-196i,0.124,No mitochondrial presequence,61(MPP),0.066,19-23,15-24-high,21-26,-,-,-,-,-,-,-,-,-,-,18-23,19-24,-
YP_009143358.1,Exclusive to IEV [Raccoonpox virus],637,17.93,0.00,1,o579-601i,0.570,Possessing mitochondrial presequence,27(MPP),0.037,"24-28,78-82",19-28-high,-,-,-,-,-,-,20-25,-,-,-,-,-,-,-
YP_009143375.1,hypothetical protein RCNV-Herman-063 [Raccoonpox virus],666,18.24,0.00,1,o574-596i,0.301,No mitochondrial presequence,10(MPP),0.100,"8-12,12-16",8-17-high,-,-,-,-,-,-,-,-,-,-,-,11-16,12-17,-
YP_009143459.1,hypothetical protein RCNV-Herman-147 [Raccoonpox virus],43,11.97,11.97,1,i12-34o,0.106,No mitochondrial presequence,25(MPP),0.120,9-13,7-16-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009143461.1,ATPase [Raccoonpox virus],268,18.90,18.88,1,i21-43o,0.276,No mitochondrial presequence,21(MPP),0.095,"46-50,89-93",13-22-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009143463.1,C-type lectin-like IEV/EEV glycoprotein [Raccoonpox virus],168,21.72,21.70,1,o15-37i,0.766,Possessing mitochondrial presequence,12(MPP),0.250,,1-15-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009113104.1,staphylokinase [Staphylococcus phage phiBU01],176,21.09,21.06,1,i7-29o,0.156,No mitochondrial presequence,18(MPP),0.222,,21-30-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009133220.1,rr2 [Lambdina fiscellaria nucleopolyhedrovirus],385,21.35,0.29,1,o221-243i,0.185,No mitochondrial presequence,43(MPP),0.070,,3-16-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009133308.1,hypothetical protein [Lambdina fiscellaria nucleopolyhedrovirus],172,24.31,17.56,1,i21-39o,0.690,Possessing mitochondrial presequence,9(MPP),0.222,"6-10,26-30,50-54,53-57",16-25-high,-,-,-,-,6-11,17-22,-,-,-,-,-,-,-,16-21
YP_009133330.1,p74 [Lambdina fiscellaria nucleopolyhedrovirus],670,75.74,0.00,3,o448-470i596-618o628-650i,0.164,No mitochondrial presequence,28(MPP),0.071,"12-16,32-36,56-60",9-18-high,-,-,-,-,-,-,-,-,-,-,-,-,12-17,-
YP_009133343.1,pif5 [Lambdina fiscellaria nucleopolyhedrovirus],357,40.70,0.01,2,i157-179o317-339i,0.203,No mitochondrial presequence,63(MPP),0.095,"10-14,69-73",7-16-high,-,-,-,-,-,-,-,-,-,-,-,-,-,25-30
YP_009111107.1,hypothetical protein Av05_0033 [Escherichia phage Av-05],116,20.29,20.29,1,o5-27i,0.128,No mitochondrial presequence,36(MPP),0.111,"21-25,37-41",13-25-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009151605.1,hypothetical protein CPT_Moonbeam42 [Bacillus phage Moonbeam],91,43.41,42.63,2,i7-29o39-61i,0.277,No mitochondrial presequence,41(MPP),0.073,"8-12,57-61",8-20-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009151962.1,hypothetical protein CPT_Seurat18 [Escherichia phage Seurat],138,20.89,0.00,1,i95-117o,0.191,No mitochondrial presequence,"11(MPP), 12(Icp55*)",0.182,34-38,9-18-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009152032.1,hypothetical protein CPT_Seurat88 [Escherichia phage Seurat],158,21.60,21.60,1,o18-40i,0.247,No mitochondrial presequence,"86(MPP), 87(Icp55*)",0.023,84-88,1-10-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009147009.1,hypothetical protein [Enterococcus phage ECP3],125,44.98,23.09,2,i29-51o66-88i,0.188,No mitochondrial presequence,39(MPP),-0.026,36-40,4-13-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009147099.1,putative major capsid protein [Enterococcus phage ECP3],118,20.10,0.21,1,o75-94i,0.170,No mitochondrial presequence,27(MPP),0.111,"29-33,61-65",11-20-low,-,-,-,-,-,-,-,-,-,-,9-14,-,-,-
YP_009147134.1,putative anti-proliferative protein [Enterococcus phage ECP3],285,22.50,22.50,1,i9-31o,0.157,No mitochondrial presequence,73(MPP),0.068,"6-10,27-31",1-10-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009149384.1,protein of unknown function [Yersinia phage phiD1],61,40.80,40.80,2,o10-32i37-54o,0.164,No mitochondrial presequence,9(MPP),0.222,,5-14-low,-,-,-,-,-,-,6-11,-,-,-,-,-,-,-
YP_009151372.1,hypothetical protein [Escherichia phage EC6],110,19.73,19.72,1,o4-26i,0.120,No mitochondrial presequence,59(MPP),0.034,"15-19,25-29",21-30-low,-,-,-,-,-,-,-,-,-,-,-,24-29,25-30,-
YP_009153225.1,putative holin [Propionibacterium phage PHL055N00],132,42.29,35.93,2,i13-35o45-67i,0.104,No mitochondrial presequence,40(MPP),0.050,10-14,10-21-high,-,-,-,-,-,-,13-18,-,-,-,-,-,-,-
YP_009153482.1,hypothetical protein SPN3US_0188 [Salmonella phage SPN3US],67,38.84,38.84,2,i9-28o33-52i,0.102,No mitochondrial presequence,60(MPP),0.117,,9-20-high,-,-,-,-,-,-,16-21,-,-,15-20,-,-,-,-
YP_009153494.1,hypothetical protein SPN3US_0200 [Salmonella phage SPN3US],86,42.22,35.21,2,i21-43o48-67i,0.169,No mitochondrial presequence,66(MPP),0.045,"1-5,38-42,68-72",1-10-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009153557.1,hypothetical protein SPN3US_0263 [Salmonella phage SPN3US],377,20.76,3.16,1,i58-80o,0.113,No mitochondrial presequence,"62(MPP), 63(Icp55*)",0.065,"59-63,84-88,88-92",8-17-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009153738.1,hypothetical protein [Yersinia phage PST],61,41.02,41.02,2,o10-32i37-54o,0.188,No mitochondrial presequence,9(MPP),0.222,,5-14-low,-,-,-,-,-,-,6-11,-,-,-,-,-,-,-
YP_009146764.1,hypothetical protein BPABA577_00330 [Acinetobacter phage YMC13/03/R2096],210,16.72,16.72,1,o15-37i,0.126,No mitochondrial presequence,75(MPP),0.040,,12-23-high,-,21-26,-,-,-,19-24,3-8,-,-,2-7,-,-,-,18-23
YP_009147286.1,hypothetical protein VpaE1_017 [Escherichia phage vB_EcoM-VpaE1],110,15.21,15.21,1,o4-26i,0.130,No mitochondrial presequence,59(MPP),0.034,"15-19,25-29",21-30-low,-,-,-,-,-,-,-,-,-,-,-,24-29,25-30,-
YP_009147473.1,flippase [Enterobacteria phage SfI],120,82.07,40.64,4,i12-31o35-54i67-84o94-116i,0.141,No mitochondrial presequence,67(MPP),0.075,"1-5,17-21,64-68",12-21-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
