 Sequence ID, Probability of presequence, Prediction,Cleavage_site, Net charge, Positions for TOM20 recognition motif (deliminated by comma), Position of amphypathic alpha-helix, BHHPPP, BPHBHH, HBHHBb, HBHHbB, HHBHHB, HHBPHB, HHBPHH, HHBPHP, HHHBBH, HHHBPH, HHHHBB, HHPBHH, HPBHHP, PHHBPH,
 NP_796216 GeneID:320717 Pptc7,0.592, Possessing mitochondrial presequence, 74(MPP),0.054," 7-11,11-15", 11-21-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_742147 GeneID:545725 Mterf1a,0.232, No mitochondrial presequence," 37(MPP), 38(Icp55*)",0.081, 79-83, 12-21-low, -, -, -, -, -, -, -, -, -, -, 6-11, -, -, -, 
 NP_001013041 GeneID:545725 Mterf1a,0.232, No mitochondrial presequence," 37(MPP), 38(Icp55*)",0.081, 79-83, 12-21-low, -, -, -, -, -, -, -, -, -, -, 6-11, -, -, -, 
 NP_694756 GeneID:207704 Gtpbp10,0.86, Possessing mitochondrial presequence, 67(MPP),0.149, , 8-19-high, -, -, -, -, -, -, -, -, 7-12, -, 6-11, -, -, -, 
 NP_001276524 GeneID:319653 Slc25a40,0, No mitochondrial presequence, 44(MPP),-0.045," 64-68,92-96", 14-23-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001276525 GeneID:319653 Slc25a40,0.005, No mitochondrial presequence, 35(MPP),0.057," 1-5,29-33", 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_848881 GeneID:319653 Slc25a40,0, No mitochondrial presequence, 44(MPP),-0.045," 64-68,92-96", 14-23-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_076222 GeneID:74114 Crot,0, No mitochondrial presequence, 13(MPP),-0.077, 32-36, 1-10-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_808537 GeneID:330050 Fam185a,0.754, Possessing mitochondrial presequence, 25(MPP),0.16, 94-98, 1-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_080310 GeneID:67211 Armc10,0.024, No mitochondrial presequence, 38(MPP),0.158, 61-65, 5-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_082707 GeneID:73078 Pmpcb,0.965, Possessing mitochondrial presequence, 30(MPP),0.233, 27-31, 10-19-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_079670 GeneID:66169 Tomm7,0.033, No mitochondrial presequence, 25(MPP),0.2, , 8-17-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_075718 GeneID:66587 Fastk,0, No mitochondrial presequence, 84(MPP),0.083," 35-39,81-85,94-98", 10-19-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_083296 GeneID:74610 Abcb8,0.867, Possessing mitochondrial presequence, 25(MPP),0.12, 2-6, 2-11-high, -, -, -, -, 2-7, -, -, -, -, -, -, -, -, -, 
 NP_038881 GeneID:27407 Abcf2,0, No mitochondrial presequence, 77(MPP),-0.013," 70-74,74-78", 1-10-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001177372 GeneID:27407 Abcf2,0, No mitochondrial presequence, 76(MPP),0," 69-73,73-77", 1-10-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001276727 GeneID:231086 Hadhb,0.99, Possessing mitochondrial presequence," 11(MPP), 19(Oct1)",0.091, 80-84, 1-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001276728 GeneID:231086 Hadhb,0.99, Possessing mitochondrial presequence," 11(MPP), 19(Oct1)",0.091, 80-84, 1-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_663533 GeneID:231086 Hadhb,0.99, Possessing mitochondrial presequence," 11(MPP), 19(Oct1)",0.091, 80-84, 1-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_032648 GeneID:17527 Mpv17,0.759, Possessing mitochondrial presequence," 51(MPP), 52(Icp55*)",0.078," 3-7,7-11,69-73,73-77,86-90", 3-12-high, -, -, -, -, -, -, -, -, -, -, -, 6-11, -, -, 
 NP_080072 GeneID:66845 Mrpl33,0.103, No mitochondrial presequence, 35(MPP),0.171, 17-21, 17-28-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_062668 GeneID:56384 Letm1,0.996, Possessing mitochondrial presequence, 94(MPP),0.117, 50-54, 1-10-high, -, -, -, -, -, 5-10, -, -, -, 4-9, -, -, -, -, 
 NP_109646 GeneID:80911 Acox3,0, No mitochondrial presequence, 26(MPP),-0.038, 82-86, 13-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_077798 GeneID:17713 Grpel1,0.998, Possessing mitochondrial presequence, 26(MPP),0.231," 2-6,5-9,78-82", 7-16-high, -, -, -, -," 2-7,5-10", -, -, -, -, -, -, -, -, -, 
 NP_077198 GeneID:110391 Qdpr,0.079, No mitochondrial presequence, 23(MPP),0.13," 7-11,68-72", 19-28-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_077754 GeneID:66988 Lap3,0.886, Possessing mitochondrial presequence," 26(MPP), 27(Icp55*)",0.154," 9-13,59-63", 19-28-low, -, -, -, -, -, -, -, -, 12-17, -, -, -, -, -, 
 NP_001138905 GeneID:66278 Smim20,0.443, Possessing mitochondrial presequence, 31(MPP),0.097, , 12-21-low, -, -, -, -, -, 3-8, -, -, -, 2-7, -, -, -, -, 
 NP_848766 GeneID:109108 Slc30a9,0.815, Possessing mitochondrial presequence, 31(MPP),0.129, , 1-10-low, -, -, -, -, -, -, -, -, 9-14, -, 8-13, -, -, -, 
 NP_766299 GeneID:231279 Guf1,0.952, Possessing mitochondrial presequence," 30(MPP), 31(Icp55*)",0.1," 5-9,16-20,27-31,67-71", 4-13-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_075918 GeneID:68095 Ociad1,0, No mitochondrial presequence," 34(MPP), 35(Icp55*)",-0.059, 76-80, 13-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001153361 GeneID:68095 Ociad1,0, No mitochondrial presequence," 34(MPP), 35(Icp55*)",-0.059, 76-80, 13-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001153360 GeneID:68095 Ociad1,0, No mitochondrial presequence," 34(MPP), 35(Icp55*)",-0.059, 76-80, 13-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001153359 GeneID:68095 Ociad1,0, No mitochondrial presequence," 34(MPP), 35(Icp55*)",-0.059, 76-80, 13-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_080215 GeneID:67054 Paics,0.022, No mitochondrial presequence, 31(MPP),0.032, , 6-15-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_062810 GeneID:56412 Noa1,0.519, Possessing mitochondrial presequence, 44(MPP),0.114, , 5-14-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_848815 GeneID:231413 Grsf1,0.012, No mitochondrial presequence, 65(MPP),0.123, 73-77, 7-16-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001091946 GeneID:231413 Grsf1,0, No mitochondrial presequence, 36(MPP),-0.167, 88-92, 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001156928 GeneID:231430 Cox18,0.949, Possessing mitochondrial presequence, 92(MPP),0.022, , 2-13-high, -, -, -, -, -, -, 2-7, -, -, 1-6, -, -, -, -, 
 NP_001028482 GeneID:231430 Cox18,0.949, Possessing mitochondrial presequence, 92(MPP),0.022, , 2-13-high, -, -, -, -, -, -, 2-7, -, -, 1-6, -, -, -, -, 
 NP_444388 GeneID:94061 Mrpl1,0.796, Possessing mitochondrial presequence," 42(MPP), 43(Icp55*)",0.143," 4-8,8-12,20-24,93-97", 5-14-high, -, -, -, -, 4-9, -, -, -, -, -, -, -, -, -, 
 NP_001034173 GeneID:94061 Mrpl1,0.809, Possessing mitochondrial presequence," 42(MPP), 43(Icp55*)",0.143," 4-8,8-12,20-24,93-97", 5-14-high, -, -, -, -, 4-9, -, -, -, -, -, -, -, -, -, 
 NP_034424 GeneID:14626 Gk2,0.042, No mitochondrial presequence, 25(MPP),0.08," 68-72,72-76", 9-18-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_081102 GeneID:68735 Mrps18c,0.04, No mitochondrial presequence," 38(MPP), 39(Icp55*)",0.105," 35-39,63-67", 16-25-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_083070 GeneID:74167 Nudt9,0.119, No mitochondrial presequence, 26(MPP),0.077, 28-32, 4-13-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_031533 GeneID:11958 Atp5k,0.047, No mitochondrial presequence, 30(MPP),0.133, , 13-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_660129 GeneID:107999 Gtpbp6,0.601, Possessing mitochondrial presequence, 36(MPP),0.167, 3-7, 9-20-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001157010 GeneID:72542 Pgam5,0.205, No mitochondrial presequence, 88(MPP),0.023, , 3-14-low, -, -, -, -, -, -, 2-7, -, -, 1-6, -, -, -, -, 
 NP_033019 GeneID:19301 Pxmp2,0.54, Possessing mitochondrial presequence," 21(MPP), 22(Icp55*)",0.095," 28-32,35-39,70-74,84-88", 14-26-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_082549 GeneID:72542 Pgam5,0.198, No mitochondrial presequence, 88(MPP),0.023, , 3-14-low, -, -, -, -, -, -, 2-7, -, -, 1-6, -, -, -, -, 
 NP_705799 GeneID:100900 Hscb,0.931, Possessing mitochondrial presequence, 25(MPP),0.12, 96-100, 16-25-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_062674 GeneID:56361 Pus1,0.853, Possessing mitochondrial presequence, 17(MPP),0.176, 3-7, 3-14-high, -, -, -, -, -, -, -, -, -, 9-14, -, -, -, -, 
 NP_001020733 GeneID:56361 Pus1,0, No mitochondrial presequence, 35(MPP),0.057, , 3-12-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001020732 GeneID:56361 Pus1,0.853, Possessing mitochondrial presequence, 17(MPP),0.176, 3-7, 3-14-high, -, -, -, -, -, -, -, -, -, 9-14, -, -, -, -, 
 NP_079802 GeneID:66383 Iscu,0.997, Possessing mitochondrial presequence, 35(MPP),0.171, 10-14, 9-18-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_035807 GeneID:22256 Ung,0.703, Possessing mitochondrial presequence," 19(MPP), 20(Icp55*)",0.316," 64-68,93-97", 17-26-low, -, 7-12, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001035781 GeneID:22256 Ung,0.976, Possessing mitochondrial presequence, 78(MPP),0.064, 75-79, 3-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_598665 GeneID:100705 Acacb,0.005, No mitochondrial presequence, 71(MPP),-0.042, 19-23, 19-28-high, -, -, -, 20-25, -, -, -, -, -, -, -, -, -, -, 
 NP_084232 GeneID:77697 Mmab,0.955, Possessing mitochondrial presequence, 26(MPP),0.192," 18-22,49-53", 18-27-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_084268 GeneID:77832 Tchp,0.017, No mitochondrial presequence, 62(MPP),0.065, , 3-12-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_031409 GeneID:11409 Acads,0.99, Possessing mitochondrial presequence, 24(MPP),0.25, 13-17, 5-17-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_080780 GeneID:52064 Coq5,0.878, Possessing mitochondrial presequence," 42(MPP), 43(Icp55*)",0.167," 3-7,9-13,90-94", 9-19-high, -, -, -, 10-15, -, -, -, -, -, -, -, -, -, -, 
 NP_083921 GeneID:384281 Gatc,0.942, Possessing mitochondrial presequence," 19(MPP), 20(Icp55*)",0.158," 2-6,39-43,58-62,75-79", 15-24-low, -, -, -, -, -, -, -, -, -, -, -, 1-6, 2-7, -, 
 NP_031774 GeneID:12861 Cox6a1,0.995, Possessing mitochondrial presequence, 26(MPP),0.192," 16-20,40-44", 11-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_598521 GeneID:75387 Sirt4,0.321, No mitochondrial presequence, 47(MPP),0.106, 44-48, 11-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001161163 GeneID:75387 Sirt4,0.321, No mitochondrial presequence, 47(MPP),0.106, 44-48, 11-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_937806 GeneID:77407 Rab35,0.008, No mitochondrial presequence," 72(MPP), 80(Oct1)",0.014," 5-9,8-12,25-29", 1-10-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_598663 GeneID:257635 Sdsl,0.007, No mitochondrial presequence, 66(MPP),0.045," 52-56,64-68", 15-24-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_848914 GeneID:338350 Acad12,0.732, Possessing mitochondrial presequence, 34(MPP),0.147, 3-7, 2-11-high, -, -, -, -, -, -, -, -, 1-6, -, -, -, -, -, 
 NP_033786 GeneID:11669 Aldh2,0.999, Possessing mitochondrial presequence," 18(MPP), 19(Icp55*)",0.278," 1-5,15-19,78-82,81-85,84-88", 15-24-high, -, -, -, -, -, -, -, -, -, -, -, -, 15-20, -, 
 NP_075721 GeneID:66593 Diablo,0.927, Possessing mitochondrial presequence, 75(MPP),0.133, 72-76, 8-17-high, -, -, -, -, -, -, 3-8, -, -, 2-7, -, -, -, -, 
 NP_063928 GeneID:56325 Abcb9,0.004, No mitochondrial presequence, 79(MPP),0.025, 3-7, 2-11-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_082586 GeneID:72650 2810006K23Rik,0.313, No mitochondrial presequence, 28(MPP),0.179, 16-20, 9-18-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001128189 GeneID:72650 2810006K23Rik,0.421, Possessing mitochondrial presequence, 28(MPP),0.179, 16-20, 9-18-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_032121 GeneID:14467 Gbas,0.996, Possessing mitochondrial presequence, 27(MPP),0.148," 2-6,84-88", 19-28-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_079726 GeneID:66258 Mrps17,0.45, Possessing mitochondrial presequence, 33(MPP),0.212," 14-18,30-34,39-43,65-69,88-92", 13-22-high, -, -, -, -, -, 22-27, -, -, -, 21-26, -, -, -, -, 
 NP_077128 GeneID:14004 Chchd2,0.091, No mitochondrial presequence, 29(MPP),0.276, 76-80, 12-21-low, -, -, -, 22-27, -, -, -, -, -, -, -, -, -, -, 
 NP_898911 GeneID:71970 2410018M08Rik,0.505, Possessing mitochondrial presequence, 29(MPP),0.276, 76-80, 13-22-low, -, -, -, 22-27, -, -, -, -, -, -, -, -, -, -, 
 NP_291050 GeneID:94254 Wbscr16,0.689, Possessing mitochondrial presequence, 34(MPP),0.206," 4-8,55-59", 14-23-low, -, -, 5-10, -, 4-9, -, -, -, -, -, -, -, -, -, 
 NP_660250 GeneID:68758 Abhd11,0.916, Possessing mitochondrial presequence, 34(MPP),0.206," 1-5,4-8,77-81", 6-15-high, -, -, -, -," 1-6,4-9", -, -, -, -, -, -, -, -, -, 
 NP_079638 GeneID:66114 Dnajc30,0.789, Possessing mitochondrial presequence," 37(MPP), 38(Icp55*)",0.135," 3-7,14-18", 10-19-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001177366 GeneID:68758 Abhd11,0.015, No mitochondrial presequence," 9(MPP), 10(Icp55*)",0.333," 70-74,95-99", 2-11-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_032643 GeneID:17448 Mdh2,0.999, Possessing mitochondrial presequence," 16(MPP), 24(Oct1)",0.188, , 13-23-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_079838 GeneID:66437 Fis1,0, No mitochondrial presequence, 45(MPP),-0.044," 87-91,90-94", 1-10-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001156715 GeneID:66437 Fis1,0.005, No mitochondrial presequence, 38(MPP),0.026," 80-84,83-87", 5-14-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_932097 GeneID:68033 Cox19,0.016, No mitochondrial presequence, 40(MPP),0.075, 37-41, 1-12-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_080786 GeneID:68017 Ftsj2,0.789, Possessing mitochondrial presequence, 16(MPP),0.25," 30-34,43-47,57-61", 15-24-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_065607 GeneID:57423 Atp5j2,0, No mitochondrial presequence, 41(MPP),0.073," 42-46,46-50", 11-24-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_598496 GeneID:71799 Ptcd1,0.032, No mitochondrial presequence, 44(MPP),0.091, 6-10, 6-24-low, -, -, -, -, -, -, -, -, -, -, -, -, 6-11, -, 
 NP_001243031 GeneID:76366 Mtif3,0.672, Possessing mitochondrial presequence, 27(MPP),0.111," 5-9,20-24,83-87", 17-26-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001243030 GeneID:76366 Mtif3,0.672, Possessing mitochondrial presequence, 27(MPP),0.111," 5-9,20-24,83-87", 17-26-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001243029 GeneID:76366 Mtif3,0.672, Possessing mitochondrial presequence, 27(MPP),0.111," 5-9,20-24,83-87", 17-26-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_083857 GeneID:76366 Mtif3,0.672, Possessing mitochondrial presequence, 27(MPP),0.111," 5-9,20-24,83-87", 17-26-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_056644 GeneID:50799 Slc25a13,0.032, No mitochondrial presequence, 44(MPP),0.045," 3-7,21-25,41-45", 17-26-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001171043 GeneID:50799 Slc25a13,0.033, No mitochondrial presequence, 44(MPP),0.045," 3-7,21-25,41-45", 17-26-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_062750 GeneID:56463 Snd1,0.008, No mitochondrial presequence, 63(MPP),0.111," 23-27,60-64", 18-27-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_079612 GeneID:66075 Chchd3,0, No mitochondrial presequence, 49(MPP),0.02, , 17-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_079639 GeneID:66117 1110001J03Rik,0.835, Possessing mitochondrial presequence, 28(MPP),0.143," 34-38,38-42", 9-18-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_849204 GeneID:57869 Adck2,0.051, No mitochondrial presequence, 30(MPP),0.133," 47-51,81-85,90-94", 20-29-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_076027 GeneID:69923 Agk,0.391, Possessing mitochondrial presequence, 41(MPP),0.146, 38-42, 4-14-high, -, -, -, -, -, 4-9, -, -, -, 3-8, -, -, -, -, 
 NP_663542 GeneID:58875 Hibadh,0.164, No mitochondrial presequence, 23(MPP),0.174, 95-99, 6-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_851009 GeneID:353172 Gars,0.657, Possessing mitochondrial presequence," 33(MPP), 34(Icp55*)",0.121," 11-15,81-85", 1-10-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_033101 GeneID:19895 Rpia,0.048, No mitochondrial presequence, 47(MPP),0.085," 11-15,74-78", 7-18-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_063932 GeneID:56451 Suclg1,0.94, Possessing mitochondrial presequence," 26(MPP), 27(Icp55*)",0.038, 23-27, 13-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_038792 GeneID:27369 Dguok,0.994, Possessing mitochondrial presequence, 31(MPP),0.194," 3-7,54-58", 14-23-low, -, -, -, -, -, -, -, -, 6-11, -, -, -, -, -, 
 NP_001155993 GeneID:27369 Dguok,0.993, Possessing mitochondrial presequence, 31(MPP),0.194," 3-7,54-58", 14-23-low, -, -, -, -, -, -, -, -, 6-11, -, -, -, -, -, 
 NP_848754 GeneID:94282 Sfxn5,0, No mitochondrial presequence, 45(MPP),0.044, 43-47, 1-10-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_031664 GeneID:12468 Cct7,0, No mitochondrial presequence, 38(MPP),-0.026," 45-49,65-69", 17-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_075547 GeneID:65967 Eefsec,0.265, No mitochondrial presequence," 26(MPP), 34(Oct1)",0.115, 23-27, 16-27-low, 25-30, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001161208 GeneID:66098 Chchd6,0, No mitochondrial presequence, 24(MPP),-0.125, , 19-28-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_079627 GeneID:66098 Chchd6,0, No mitochondrial presequence, 24(MPP),-0.125, , 19-28-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_081682 GeneID:107747 Aldh1l1,0, No mitochondrial presequence, 21(MPP),0.095, , 11-21-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_080531 GeneID:67582 Slc25a26,0, No mitochondrial presequence, 48(MPP),0.021, 89-93, 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_035637 GeneID:20917 Suclg2,0.478, Possessing mitochondrial presequence, 28(MPP),0.143," 11-15,57-61", 7-17-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_705736 GeneID:94044 Bcl2l13,0, No mitochondrial presequence," 74(MPP), 82(Oct1)",-0.068, , 18-28-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_064330 GeneID:56615 Mgst1,0.067, No mitochondrial presequence, 74(MPP),0.041," 24-28,59-63", 3-12-low, -, -, -, -, -, -, -, -, -, -, -, 23-28, -, -, 
 NP_663548 GeneID:232536 Mrps35,0.987, Possessing mitochondrial presequence," 21(MPP), 29(Oct1)",0.143, , 17-26-high, -, -, -, -, -, -, -, 18-23, -, -, -, -, -, -, 
 NP_038771 GeneID:27273 Pdk4,0.929, Possessing mitochondrial presequence, 10(MPP),0.3, 3-7, 19-30-high, -, -, -, -, -, -, -, 7-12, -, 6-11, -, -, -, -, 
 NP_001071181 GeneID:71238 Acn9,0.833, Possessing mitochondrial presequence, 42(MPP),0.143," 13-17,19-23,50-54", 8-17-high, -, -, -, -, -, -, -, -," 11-16,17-22", -, 16-21, -, -, -, 
 NP_035016 GeneID:17992 Ndufa4,0.087, No mitochondrial presequence, 36(MPP),0.111, 33-37, 2-11-high, -, -, -, -, -, -, 1-6, -, -, -, -, -, -, -, 
 NP_038958 GeneID:30956 Aass,0.998, Possessing mitochondrial presequence, 19(MPP),0.316, , 12-21-high, -, -, -, -, -, -, -, -, -, -, 25-30, -, -, -, 
 NP_080890 GeneID:68202 Ndufa5,0.041, No mitochondrial presequence," 46(MPP), 47(Icp55*)",0.109, 91-95, 16-25-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_031506 GeneID:11844 Arf5,0.129, No mitochondrial presequence, 80(MPP),0.062," 9-13,78-82", 5-14-high, -, 16-21, -, -, -, -, -, -, -, -, -, 8-13, -, -, 
 NP_033861 GeneID:11997 Akr1b7,0, No mitochondrial presequence, 71(MPP),0," 31-35,76-80,89-93", 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_765986 GeneID:67861 Akr1b10,0.007, No mitochondrial presequence, 30(MPP),0.1," 31-35,76-80,89-93", 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_080888 GeneID:68198 Ndufb2,0.984, Possessing mitochondrial presequence, 73(MPP),0.11," 4-8,70-74", 10-19-high, -, -, -, -, -, -, -, -, -, -, -, 3-8, -, -, 
 NP_034400 GeneID:14548 Mrps33,0.071, No mitochondrial presequence, 11(MPP),0, , 11-22-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001010930 GeneID:14548 Mrps33,0.004, No mitochondrial presequence, 11(MPP),0, , 11-22-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_082634 GeneID:381760 Ssbp1,0.996, Possessing mitochondrial presequence, 16(MPP),0.25, , 6-15-high, -, -, -, -, -, -, 9-14, -, -, -, -, -, -, 8-13, 
 NP_997633 GeneID:381760 Ssbp1,0.996, Possessing mitochondrial presequence, 16(MPP),0.25, , 6-15-high, -, -, -, -, -, -, 9-14, -, -, -, -, -, -, 8-13, 
 NP_001273593 GeneID:381760 Ssbp1,0.996, Possessing mitochondrial presequence, 16(MPP),0.25, , 6-15-high, -, -, -, -, -, -, 9-14, -, -, -, -, -, -, 8-13, 
 NP_001273592 GeneID:381760 Ssbp1,0.996, Possessing mitochondrial presequence, 16(MPP),0.25, , 6-15-high, -, -, -, -, -, -, 9-14, -, -, -, -, -, -, 8-13, 
 NP_083831 GeneID:76263 Gstk1,0.01, No mitochondrial presequence, 29(MPP),-0.034," 4-8,29-33", 6-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_112537 GeneID:83408 Gimap3,0.011, No mitochondrial presequence, 54(MPP),0.148, , 1-10-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_083629 GeneID:75593 Malsu1,0.891, Possessing mitochondrial presequence, 57(MPP),0.14," 8-12,16-20,34-38,38-42", 8-17-high, -, -, -, -, -, -, -, -, 14-19, -, -, -, -, -, 
 NP_031834 GeneID:13063 Cycs,0.033, No mitochondrial presequence, 40(MPP),0.15, 12-16, 4-13-low, -, -, -, -, -, -, -, -, -, -, -, 11-16, 12-17, -, 
 NP_780732 GeneID:243382 Ppm1k,0.36, No mitochondrial presequence, 21(MPP),0.19, , 9-19-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_079850 GeneID:66459 Pyurf,1, Possessing mitochondrial presequence, 34(MPP),0.206," 6-10,23-27", 7-16-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_059095 GeneID:14080 Fabp1,0, No mitochondrial presequence, 61(MPP),0.049, 18-22, 13-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_079706 GeneID:66223 Mrpl35,0.229, No mitochondrial presequence, 48(MPP),0.104," 9-13,57-61,64-68,76-80", 11-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_081551 GeneID:69956 Ptcd3,0.969, Possessing mitochondrial presequence," 37(MPP), 38(Icp55*)",0.135," 34-38,66-70", 13-22-low, -, -, -, -, -, -, -, -, 6-11, -, 5-10, -, -, -, 
 NP_001240618 GeneID:76614 Immt,0.533, Possessing mitochondrial presequence," 32(MPP), 40(Oct1)",0.188," 1-5,19-23,43-47", 19-28-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001240617 GeneID:76614 Immt,0.546, Possessing mitochondrial presequence," 32(MPP), 40(Oct1)",0.188," 1-5,19-23,43-47", 19-28-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001240616 GeneID:76614 Immt,0.533, Possessing mitochondrial presequence," 32(MPP), 40(Oct1)",0.188," 1-5,19-23,43-47", 19-28-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
