 Sequence ID, Probability of presequence, Prediction,Cleavage_site, Net charge, Positions for TOM20 recognition motif (deliminated by comma), Position of amphypathic alpha-helix, BHHPPP, BPHBHH, HBHHBb, HBHHbB, HHBHHB, HHBPHB, HHBPHH, HHBPHP, HHHBBH, HHHBPH, HHHHBB, HHPBHH, HPBHHP, PHHBPH,
 NP_777549 GeneID:91942 NDUFAF2,0.252, No mitochondrial presequence," 14(MPP), 15(Icp55*)",0.071, 7-11, 6-15-high, -, -, -, -, -, -, -, 11-16, -, 10-15, -, -, -, -, 
 NP_001265855 GeneID:23398 PPWD1,0.014, No mitochondrial presequence, 42(MPP),0.095," 39-43,63-67", 14-24-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001265858 GeneID:23398 PPWD1,0.008, No mitochondrial presequence, 75(MPP),-0.013, 78-82, 2-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_056157 GeneID:23398 PPWD1,0, No mitochondrial presequence," 31(MPP), 32(Icp55*)",-0.032," 69-73,93-97", 1-11-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001265856 GeneID:23398 PPWD1,0.004, No mitochondrial presequence, 91(MPP),0, 94-98, 8-21-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_071415 GeneID:64087 MCCC2,0.932, Possessing mitochondrial presequence, 22(MPP),0.182, 4-8, 1-10-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_055899 GeneID:23107 MRPS27,0.978, Possessing mitochondrial presequence, 28(MPP),0.179, 72-76, 17-29-high, -, -, -, -, -, -, 12-17, -, -, 11-16, -, -, -, -, 
 NP_001273677 GeneID:23107 MRPS27,0.977, Possessing mitochondrial presequence, 28(MPP),0.179, 72-76, 17-29-high, -, -, -, -, -, -, 12-17, -, -, 11-16, -, -, -, -, 
 NP_001273680 GeneID:23107 MRPS27,0.014, No mitochondrial presequence, 19(MPP),0.105, 16-20, 16-25-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_733781 GeneID:84340 GFM2,0.038, No mitochondrial presequence, 44(MPP),0.159, , 14-23-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_733792 GeneID:84340 GFM2,0.038, No mitochondrial presequence, 44(MPP),0.159, , 14-23-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_115756 GeneID:84340 GFM2,0.038, No mitochondrial presequence, 44(MPP),0.159, , 14-23-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001268231 GeneID:84340 GFM2,0.013, No mitochondrial presequence," 39(MPP), 47(Oct1)",0.051, , 13-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_056071 GeneID:23305 ACSL6,0.004, No mitochondrial presequence," 49(MPP), 57(Oct1)",-0.02, 31-35, 15-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001009185 GeneID:23305 ACSL6,0.005, No mitochondrial presequence," 49(MPP), 57(Oct1)",-0.02, 31-35, 15-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001192176 GeneID:23305 ACSL6,0.008, No mitochondrial presequence," 49(MPP), 57(Oct1)",-0.02," 31-35,72-76", 15-26-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001192177 GeneID:23305 ACSL6,0.425, Possessing mitochondrial presequence," 24(MPP), 32(Oct1)",0," 6-10,82-86", 16-25-high, -, -, -, -, 6-11, -, -, 21-26, -, -, -, -, -, 20-25, 
 NP_001192179 GeneID:23305 ACSL6,0.015, No mitochondrial presequence," 35(MPP), 43(Oct1)",-0.029," 17-21,93-97", 1-12-low, -, -, -, -, 17-22, -, -, -, -, -, -, -, -, -, 
 NP_001192180 GeneID:23305 ACSL6,0.519, Possessing mitochondrial presequence," 24(MPP), 32(Oct1)",0," 6-10,47-51", 16-25-high, -, -, -, -, 6-11, -, -, 21-26, -, -, -, -, -, 20-25, 
 NP_001274511 GeneID:995 CDC25C,0, No mitochondrial presequence, 23(MPP),-0.043, 50-54, 21-30-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001781 GeneID:995 CDC25C,0, No mitochondrial presequence, 23(MPP),-0.043, 50-54, 21-30-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_073720 GeneID:995 CDC25C,0, No mitochondrial presequence, 23(MPP),-0.043, 50-54, 21-30-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001274512 GeneID:995 CDC25C,0.057, No mitochondrial presequence, 26(MPP),0.115, 20-24, 16-25-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_660308 GeneID:133957 CCDC127,0.019, No mitochondrial presequence, 84(MPP),0.036, 39-43, 1-10-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_004159 GeneID:6389 SDHA,0.995, Possessing mitochondrial presequence," 32(MPP), 40(Oct1)",0.188," 7-11,13-17,18-22,90-94", 18-27-high, -, -, -, -, -, -, -, -, -, -, -, -, 7-12, -, 
 NP_004544 GeneID:4726 NDUFS6,0.894, Possessing mitochondrial presequence, 27(MPP),0.111, 7-11, 7-16-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_115868 GeneID:64979 MRPL36,0.807, Possessing mitochondrial presequence, 36(MPP),0.167," 6-10,57-61", 5-14-high, -, -, -, -, -, -, -, -, 4-9, -, -, -, -, -, 
 NP_071413 GeneID:64083 GOLPH3,0.009, No mitochondrial presequence, 16(MPP),0.188, , 4-13-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001245367 GeneID:6897 TARS,0, No mitochondrial presequence, 58(MPP),0, , 2-13-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001245366 GeneID:6897 TARS,0, No mitochondrial presequence, 58(MPP),0, , 2-13-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_689508 GeneID:6897 TARS,0, No mitochondrial presequence, 58(MPP),0, , 2-13-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001161067 GeneID:23600 AMACR,0, No mitochondrial presequence, 31(MPP),-0.032, 66-70, 11-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_976316 GeneID:23600 AMACR,0, No mitochondrial presequence, 31(MPP),-0.032, 66-70, 11-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_055139 GeneID:23600 AMACR,0, No mitochondrial presequence, 31(MPP),-0.032, 66-70, 11-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_114106 GeneID:64902 AGXT2,0.658, Possessing mitochondrial presequence, 35(MPP),0.086," 5-9,18-22,63-67", 4-13-high, -, -, -, -, -, -, -, -, 3-8, -, -, -, -, -, 
 NP_001078880 GeneID:133686 NADK2,0.604, Possessing mitochondrial presequence, 46(MPP),0.152, 12-16, 8-17-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_694558 GeneID:133686 NADK2,0.094, No mitochondrial presequence, 35(MPP),0.029," 5-9,43-47", 7-16-low, -, -, -, -, -, -, -, -, -, -, -, 4-9, -, -, 
 NP_001274269 GeneID:133686 NADK2,0.094, No mitochondrial presequence, 35(MPP),0.029," 5-9,43-47", 7-16-low, -, -, -, -, -, -, -, -, -, -, -, 4-9, -, -, 
 NP_001274270 GeneID:133686 NADK2,0.1, No mitochondrial presequence, 35(MPP),0.029," 5-9,43-47", 7-16-low, -, -, -, -, -, -, -, -, -, -, -, 4-9, -, -, 
 NP_057724 GeneID:10884 MRPS30,0.968, Possessing mitochondrial presequence, 16(MPP),0.25," 3-7,88-92", 3-12-high, -, -, 4-9, -, 3-8, -, -, -, -, -, -, -, -, -, 
 NP_714917 GeneID:133383 SETD9,0.852, Possessing mitochondrial presequence, 34(MPP),0.235, 56-60, 4-13-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001165461 GeneID:133383 SETD9,0.849, Possessing mitochondrial presequence, 34(MPP),0.235, 56-60, 4-13-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_065777 GeneID:57486 NLN,0.998, Possessing mitochondrial presequence, 29(MPP),0.207, 2-6, 8-17-high, -, -, -, -, -, 8-13, -, -, -, 7-12, -, -, -, -, 
 NP_150597 GeneID:92259 MRPS36,0.037, No mitochondrial presequence, 42(MPP),0.119, 9-13, 9-18-low, -, -, -, -, -, -, -, -, -, -, -, -, 9-14, -, 
 NP_079030 GeneID:79810 PTCD2,0.069, No mitochondrial presequence, 46(MPP),0.109, 43-47, 15-25-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001271333 GeneID:79810 PTCD2,0.01, No mitochondrial presequence, 67(MPP),0.045, 82-86, 9-18-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001271334 GeneID:79810 PTCD2,0, No mitochondrial presequence, 49(MPP),0.061, 64-68, 1-11-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001271332 GeneID:79810 PTCD2,0.04, No mitochondrial presequence, 46(MPP),0.109, 43-47, 15-25-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_037523 GeneID:29958 DMGDH,0.995, Possessing mitochondrial presequence, 28(MPP),0.179, 65-69, 1-13-high, -, -, -, -, -, -, -, -, -, 12-17, -, -, -, -, 
 NP_001093206 GeneID:1160 CKMT2,0.996, Possessing mitochondrial presequence, 47(MPP),0.085, 5-9, 1-10-high, -, -, -, -, -, -, -, -, -, -, -, 4-9, 5-10, -, 
 NP_001093205 GeneID:1160 CKMT2,0.996, Possessing mitochondrial presequence, 47(MPP),0.085, 5-9, 1-10-high, -, -, -, -, -, -, -, -, -, -, -, 4-9, 5-10, -, 
 NP_001816 GeneID:1160 CKMT2,0.996, Possessing mitochondrial presequence, 47(MPP),0.085, 5-9, 1-10-high, -, -, -, -, -, -, -, -, -, -, -, 4-9, 5-10, -, 
 NP_001858 GeneID:1350 COX7C,0.813, Possessing mitochondrial presequence, 58(MPP),0.086, 38-42, 2-13-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_620128 GeneID:91137 SLC25A46,0.008, No mitochondrial presequence," 32(MPP), 33(Icp55*)",0.031, 39-43, 1-12-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_000405 GeneID:3295 HSD17B4,0.048, No mitochondrial presequence," 24(MPP), 25(Icp55*)",0.083," 21-25,55-59", 13-25-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001186220 GeneID:3295 HSD17B4,0.128, No mitochondrial presequence," 59(MPP), 67(Oct1)",0.085," 6-10,50-54,80-84", 19-28-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001186221 GeneID:3295 HSD17B4,0, No mitochondrial presequence, 48(MPP),0.042, 37-41, 18-27-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_803431 GeneID:94033 FTMT,0.751, Possessing mitochondrial presequence," 48(MPP), 49(Icp55*)",0.167, 4-8, 8-19-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001173 GeneID:501 ALDH7A1,0.82, Possessing mitochondrial presequence, 25(MPP),0.2," 4-8,9-13", 16-25-high, -, -, -, -, 9-14, -, -, -, -, -, -, -, -, -, 
 NP_001188306 GeneID:501 ALDH7A1,0, No mitochondrial presequence, 54(MPP),-0.019, 70-74, 6-17-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001189333 GeneID:501 ALDH7A1,0.031, No mitochondrial presequence, 34(MPP),0.088," 31-35,36-40", 21-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001157950 GeneID:401207 C5orf63,0.905, Possessing mitochondrial presequence, 22(MPP),0.091, , 10-19-high, -, -, -, -, -, -, -, 19-24, -, 18-23, -, -, -, -, 
 NP_001157951 GeneID:401207 C5orf63,0.937, Possessing mitochondrial presequence, 22(MPP),0.091, , 10-19-high, -, -, -, -, -, -, -, 19-24, -, 18-23, -, -, -, -, 
 NP_859056 GeneID:90624 LYRM7,0.5, Possessing mitochondrial presequence, 68(MPP),0.088," 1-5,4-8", 10-23-high, -, -, -, -, -, 10-15, -, -, -, -, -, -, -, 9-14, 
 NP_005331 GeneID:3094 HINT1,0.004, No mitochondrial presequence," 38(MPP), 39(Icp55*)",0," 19-23,74-78", 16-25-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_003050 GeneID:6583 SLC22A4,0, No mitochondrial presequence, 64(MPP),-0.016, 17-21, 5-14-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_055217 GeneID:27089 UQCRQ,0.249, No mitochondrial presequence, 13(MPP),0.154," 11-15,27-31,46-50", 1-10-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_003365 GeneID:7416 VDAC1,0, No mitochondrial presequence, 94(MPP),-0.021, , 9-18-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_115527 GeneID:84105 PCBD2,0.981, Possessing mitochondrial presequence," 14(MPP), 15(Icp55*)",0.143, 77-81, 10-19-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_660325 GeneID:153328 SLC25A48,0.003, No mitochondrial presequence," 86(MPP), 87(Icp55*)",0.035, 45-49, 6-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_004125 GeneID:3313 HSPA9,0.996, Possessing mitochondrial presequence," 45(MPP), 46(Icp55*)",0.089," 4-8,9-13,37-41", 1-13-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001265661 GeneID:23438 HARS2,0, No mitochondrial presequence, 18(MPP),0.111, 48-52, 6-15-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_002479 GeneID:4695 NDUFA2,0.074, No mitochondrial presequence, 27(MPP),0.148," 66-70,87-91", 16-25-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001265660 GeneID:23438 HARS2,0.938, Possessing mitochondrial presequence, 33(MPP),0.121, , 12-21-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_036340 GeneID:23438 HARS2,0.965, Possessing mitochondrial presequence, 33(MPP),0.121, , 12-21-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001171941 GeneID:4695 NDUFA2,0.066, No mitochondrial presequence, 27(MPP),0.148, 66-70, 16-25-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001136075 GeneID:9812 KIAA0141,0.753, Possessing mitochondrial presequence, 23(MPP),0.174, 8-12, 8-17-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_055588 GeneID:9812 KIAA0141,0.753, Possessing mitochondrial presequence, 23(MPP),0.174, 8-12, 8-17-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_892005 GeneID:153768 PRELID2,0.005, No mitochondrial presequence, 25(MPP),0.04, , 15-26-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_612501 GeneID:153768 PRELID2,0, No mitochondrial presequence, 40(MPP),0.075, , 9-22-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_995318 GeneID:153768 PRELID2,0.005, No mitochondrial presequence, 69(MPP),0.058, , 15-26-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_689620 GeneID:134266 GRPEL2,0.907, Possessing mitochondrial presequence, 39(MPP),0.128," 13-17,58-62,80-84", 3-12-low, -, -, -, -, -, -, 2-7, -, -, 1-6, -, -, -, -, 
 NP_005608 GeneID:6208 RPS14,0, No mitochondrial presequence, 56(MPP),-0.018, 30-34, 14-23-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001020241 GeneID:6208 RPS14,0, No mitochondrial presequence, 56(MPP),-0.018, 30-34, 14-23-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001020242 GeneID:6208 RPS14,0, No mitochondrial presequence, 56(MPP),-0.018, 30-34, 14-23-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_054899 GeneID:29093 MRPL22,0.752, Possessing mitochondrial presequence, 72(MPP),0.111, 84-88, 6-17-high, -, -, -, -, -, 13-18, -, -, -, 12-17, -, -, -, -, 
 NP_001014990 GeneID:29093 MRPL22,0.2, No mitochondrial presequence, 10(MPP),0.2," 4-8,81-85,85-89,89-93", 3-12-high, -, -, 5-10, -, 4-9, -, -, -, -, -, -, -, -, -, 
 NP_060342 GeneID:54974 THG1L,0.865, Possessing mitochondrial presequence, 23(MPP),0.13," 20-24,48-52,62-66,83-87", 16-25-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_002878 GeneID:5917 RARS,0, No mitochondrial presequence, 55(MPP),-0.055," 84-88,87-91", 20-29-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_073591 GeneID:94081 SFXN1,0.004, No mitochondrial presequence, 25(MPP),0," 25-29,47-51", 21-30-high, -, -, -, -, -, -, -, -, -, -, -, -, 25-30, -, 
 NP_620175 GeneID:192286 HIGD2A,0, No mitochondrial presequence, 70(MPP),0.029, , 20-30-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_037369 GeneID:27166 PRELID1,0.232, No mitochondrial presequence," 55(MPP), 56(Icp55*)",0.055," 1-5,62-66,66-70", 15-24-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001026847 GeneID:53917 RAB24,0.012, No mitochondrial presequence, 27(MPP),0.074," 24-28,46-50,73-77", 21-30-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001258757 GeneID:27166 PRELID1,0.233, No mitochondrial presequence," 55(MPP), 56(Icp55*)",0.055," 1-5,62-66,66-70", 15-24-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_570137 GeneID:53917 RAB24,0.012, No mitochondrial presequence, 27(MPP),0.074," 24-28,46-50,73-77", 21-30-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001158313 GeneID:57128 LYRM4,0.789, Possessing mitochondrial presequence," 30(MPP), 31(Icp55*)",0.167, 12-16, 9-18-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_004323 GeneID:670 BPHL,0.648, Possessing mitochondrial presequence, 15(MPP),0.2, , 16-25-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001158312 GeneID:57128 LYRM4,0.755, Possessing mitochondrial presequence," 30(MPP), 31(Icp55*)",0.167, 12-16, 9-18-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_065141 GeneID:57128 LYRM4,0.843, Possessing mitochondrial presequence," 30(MPP), 31(Icp55*)",0.167, 12-16, 9-18-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_006558 GeneID:10667 FARS2,0.915, Possessing mitochondrial presequence, 9(MPP),0.222, , 2-11-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001071 GeneID:7915 ALDH5A1,0.974, Possessing mitochondrial presequence," 46(MPP), 47(Icp55*)",0.152, 48-52, 10-19-high, -, -, -, -, -, -, -, -, -, 5-10, -, -, -, -, 
 NP_733936 GeneID:7915 ALDH5A1,0.974, Possessing mitochondrial presequence," 46(MPP), 47(Icp55*)",0.152, 48-52, 10-19-high, -, -, -, -, -, -, -, -, -, 5-10, -, -, -, -, 
 NP_001180272 GeneID:55168 MRPS18A,0.939, Possessing mitochondrial presequence, 34(MPP),0.147," 3-7,11-15", 7-19-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_060605 GeneID:55168 MRPS18A,0.946, Possessing mitochondrial presequence, 34(MPP),0.147," 3-7,11-15", 7-19-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_000246 GeneID:4594 MUT,0.996, Possessing mitochondrial presequence, 32(MPP),0.156, , 11-21-low, -, -, -, -, -, 15-20, -, -, -, -, -, -, -, -, 
 NP_036255 GeneID:25821 MTO1,0.524, Possessing mitochondrial presequence, 25(MPP),0.16, 7-11, 3-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001116698 GeneID:25821 MTO1,0.517, Possessing mitochondrial presequence, 25(MPP),0.16, 7-11, 3-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_598400 GeneID:25821 MTO1,0.52, Possessing mitochondrial presequence, 25(MPP),0.16, 7-11, 3-12-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_000047 GeneID:594 BCKDHB,0.996, Possessing mitochondrial presequence, 34(MPP),0.118, , 19-28-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_898871 GeneID:594 BCKDHB,0.996, Possessing mitochondrial presequence, 34(MPP),0.118, , 19-28-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_002386 GeneID:4199 ME1,0.015, No mitochondrial presequence, 10(MPP),0.1," 55-59,69-73,86-90,94-98", 17-28-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_036292 GeneID:26235 FBXL4,0.598, Possessing mitochondrial presequence, 22(MPP),0.136, , 6-15-low, -, -, -, -, -, -, -, -, -, -, 16-21, -, -, -, 
 NP_001265645 GeneID:26235 FBXL4,0.598, Possessing mitochondrial presequence, 22(MPP),0.136, , 6-15-low, -, -, -, -, -, -, -, -, -, -, 16-21, -, -, -, 
 NP_060762 GeneID:55278 QRSL1,0.464, Possessing mitochondrial presequence, 59(MPP),0.051, 24-28, 2-13-high, -, -, -, -, -, -, -, -, -, -, -, 23-28, 24-29, -, 
 NP_065114 GeneID:57107 PDSS2,0.547, Possessing mitochondrial presequence, 40(MPP),0.1," 10-14,56-60,84-88", 3-14-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_660358 GeneID:246269 LACE1,0.689, Possessing mitochondrial presequence," 13(MPP), 14(Icp55*)",0.077," 44-48,65-69", 11-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001026882 GeneID:60487 TRMT11,0.063, No mitochondrial presequence, 67(MPP),0.015," 7-11,95-99", 2-11-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001099015 GeneID:55862 ECHDC1,0.004, No mitochondrial presequence, 25(MPP),-0.04," 6-10,49-53", 2-11-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001099014 GeneID:55862 ECHDC1,0.008, No mitochondrial presequence, 25(MPP),-0.04," 6-10,59-63", 2-11-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_060949 GeneID:55862 ECHDC1,0.605, Possessing mitochondrial presequence, 69(MPP),0.029, 81-85, 1-10-high, -, -, -, -, -, -, 1-6, 5-10, -, -, -, -, -, 4-9, 
 NP_001002030 GeneID:55862 ECHDC1,0.669, Possessing mitochondrial presequence, 69(MPP),0.029, 81-85, 1-10-high, -, -, -, -, -, -, 1-6, 5-10, -, -, -, -, -, 4-9, 
 NP_001229696 GeneID:25902 MTHFD1L,0.996, Possessing mitochondrial presequence, 31(MPP),0.258, , 8-17-high, -, -, -, -, -, 8-13, -, -, -, 7-12, -, -, -, -, 
 NP_056255 GeneID:25902 MTHFD1L,0.996, Possessing mitochondrial presequence, 31(MPP),0.258, , 8-17-high, -, -, -, -, -, 8-13, -, -, -, 7-12, -, -, -, -, 
 NP_001229697 GeneID:25902 MTHFD1L,0, No mitochondrial presequence, 11(MPP),0.364, 60-64, 11-20-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_057104 GeneID:51106 TFB1M,0.12, No mitochondrial presequence, 27(MPP),0.148, 21-25, 17-26-high, -, -, -, -, 21-26, -, -, -, -, -, -, -, -, -, 
 NP_996667 GeneID:10455 ECI2,0.112, No mitochondrial presequence, 34(MPP),0.118, 7-11, 3-12-high, -, -, -, -, 7-12, -, -, -, -, -, -, -, -, -, 
 NP_001159482 GeneID:10455 ECI2,0.046, No mitochondrial presequence, 79(MPP),0.076, , 11-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_006108 GeneID:10455 ECI2,0.046, No mitochondrial presequence, 79(MPP),0.076, , 11-20-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_057546 GeneID:51522 TMEM14C,0.003, No mitochondrial presequence, 80(MPP),0.013, , 11-20-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001158730 GeneID:51522 TMEM14C,0.003, No mitochondrial presequence, 80(MPP),0.013, , 11-20-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001229756 GeneID:23408 SIRT5,0.014, No mitochondrial presequence, 26(MPP),0.115, , 19-28-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001180196 GeneID:23408 SIRT5,0.736, Possessing mitochondrial presequence, 36(MPP),0.167," 30-34,43-47,50-54", 10-19-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_112534 GeneID:23408 SIRT5,0.73, Possessing mitochondrial presequence, 36(MPP),0.167," 30-34,43-47,50-54", 10-19-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_036373 GeneID:23408 SIRT5,0.725, Possessing mitochondrial presequence, 36(MPP),0.167," 30-34,43-47,50-54", 10-19-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001026883 GeneID:63933 MCUR1,0.065, No mitochondrial presequence," 41(MPP), 42(Icp55*)",0.122, 38-42, 5-14-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001273194 GeneID:57380 MRS2,0.149, No mitochondrial presequence, 21(MPP),0.19, 11-15, 7-16-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_065713 GeneID:57380 MRS2,0.146, No mitochondrial presequence, 21(MPP),0.19, 11-15, 7-16-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001273195 GeneID:57380 MRS2,0.141, No mitochondrial presequence, 21(MPP),0.19," 11-15,89-93", 7-16-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001273193 GeneID:57380 MRS2,0.144, No mitochondrial presequence, 21(MPP),0.19, 11-15, 7-16-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001153566 GeneID:55856 ACOT13,0, No mitochondrial presequence, 55(MPP),-0.018, , 8-19-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_060943 GeneID:55856 ACOT13,0.027, No mitochondrial presequence, 78(MPP),0.013," 11-15,21-25", 4-13-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_054765 GeneID:28973 MRPS18B,0.908, Possessing mitochondrial presequence, 21(MPP),0.143, , 4-13-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001154848 GeneID:221545 C6orf136,0.494, Possessing mitochondrial presequence, 23(MPP),0.217," 15-19,48-52", 10-19-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_659466 GeneID:221545 C6orf136,0.355, No mitochondrial presequence," 68(MPP), 69(Icp55*)",0.088," 15-19,25-29,65-69", 20-29-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_001103408 GeneID:221545 C6orf136,0.391, Possessing mitochondrial presequence, 65(MPP),0.092, 15-19, 10-19-high, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
 NP_065175 GeneID:57176 VARS2,0.387, Possessing mitochondrial presequence, 25(MPP),0.16, , 5-14-low, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
